Local time in Monte Real (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
30.12.2018 21:00,"7,8","766,6","772,3","0,8",93,Wind blowing from the south-southeast,2,,,no clouds,,,,,,,,,,,"10,0","6,7",No precipitation,12,,,,
30.12.2018 18:00,"13,8","765,8","771,4","0,8",63,Wind blowing from the north-east,2,,,no clouds,,,,,,,,,,,"10,0","6,9",No precipitation,3,,,,
30.12.2018 15:00,"16,4","765,0","770,5","-1,3",57,Wind blowing from the north-east,4,,,no clouds,,,,,,,,,,,"10,0","7,9",No precipitation,3,,,,
30.12.2018 12:00,"13,3","766,3","772,0","-0,8",61,Wind blowing from the north-east,3,,,no clouds,,,,,,,,,,,"10,0","5,8",No precipitation,3,,,,
30.12.2018 09:00,"7,5","767,1","772,8","1,1",82,Wind blowing from the north-northeast,3,,,no clouds,,,,,,,,,,,"10,0","4,6",No precipitation,3,,,,
30.12.2018 06:00,"3,7","766,0","771,7","-0,5",97,Wind blowing from the north,2,,,no clouds,,,,"3,5",,,,,,,"10,0","3,3",No precipitation,3,,,,
30.12.2018 03:00,"9,6","766,5","772,2","0,2",74,Wind blowing from the east,3,,,no clouds,,,,,,,,,,,"10,0","5,2",No precipitation,3,,,,
30.12.2018 00:00,"7,4","766,3","772,0","-0,1",88,Wind blowing from the east,2,,,no clouds,,,,,,,,,,,"10,0","5,6",No precipitation,3,,,,
29.12.2018 21:00,"8,8","766,4","772,1","0,4",89,Wind blowing from the south-southeast,1,,,no clouds,,,,,,,,,,,"10,0","7,1",No precipitation,12,,,,
29.12.2018 18:00,"12,0","766,0","771,6","0,9",78,Wind blowing from the north,3,,,no clouds,,,,,"17,3",,,,,,"10,0","8,3",No precipitation,3,,,,
29.12.2018 15:00,"16,8","765,1","770,7","-1,2",61,Wind blowing from the north-east,3,,,no clouds,,,,,,,,,,,"10,0","9,1",No precipitation,3,,,,
29.12.2018 12:00,"14,0","766,3","771,8","-0,7",66,Wind blowing from the east-northeast,2,,,no clouds,,,,,,,,,,,"10,0","7,8",No precipitation,3,,,,
29.12.2018 09:00,"5,5","767,0","772,8","1,1",99,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","5,4",No precipitation,3,,,,
29.12.2018 06:00,"4,2","765,9","771,7","-0,5",99,Wind blowing from the north,1,,,no clouds,,,,"4,2",,,,,,,"10,0","4,1",No precipitation,3,,,,
29.12.2018 03:00,"4,7","766,4","772,2","-0,4",99,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","4,6",No precipitation,3,,,,
29.12.2018 00:00,"6,6","766,8","772,5","0,0",97,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","6,2",No precipitation,3,,,,
28.12.2018 21:00,"10,0","766,8","772,4","0,3",85,Wind blowing from the north-northeast,2,,,no clouds,,,,,,,,,,,"10,0","7,6",No precipitation,12,,,,
28.12.2018 18:00,"12,5","766,5","772,1","0,7",82,Wind blowing from the north-northwest,2,,,no clouds,,,,,"15,9",,,,,,"10,0","9,4",No precipitation,3,,,,
28.12.2018 15:00,"15,6","765,8","771,4","-1,1",71,Wind blowing from the north-northeast,4,,,"10% or less, but not 0",,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","10,4",No precipitation,3,,,,
28.12.2018 12:00,"14,4","766,9","772,5","-0,3",78,Wind blowing from the north-northeast,4,,,20–30%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","10,5",No precipitation,3,,,,
28.12.2018 09:00,"12,1","767,2","772,8","1,1",97,Wind blowing from the north,3,,,50%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","8,0","11,6",No precipitation,3,,,,
28.12.2018 06:00,"12,3","766,1","771,7","-0,3",100,Wind blowing from the north,2,,,100%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"12,1",,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,50-100,,,"2,0","12,3",No precipitation,3,,,,
28.12.2018 03:00,"12,5","766,4","772,0","0,0",100,Wind blowing from the north,1,,,100%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,100-200,,,"3,0","12,5",No precipitation,3,,,,
28.12.2018 00:00,"12,6","766,4","772,0","0,1",100,Wind blowing from the north,1,,,100%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,100-200,,,"3,0","12,6",No precipitation,3,,,,
27.12.2018 21:00,"12,7","766,3","772,0","0,2",99,Wind blowing from the north,1,,,100%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,100-200,,,"3,0","12,5","0,4",12,,,,
27.12.2018 18:00,"13,7","766,1","771,7","0,6",97,Wind blowing from the west-northwest,2,,,"90 or more, but not 100%",Clouds generally forming or developing.,Rain.,Drizzle.,,"14,5","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",200-300,,,"10,0","13,2","0,7",12,,,,
27.12.2018 15:00,"13,7","765,5","771,1","-0,6",96,Wind blowing from the south,2,,,"90 or more, but not 100%","Drizzle, not freezing, intermittent, slight at time of observation.",Rain.,Drizzle.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",200-300,,,"5,0","13,1",,,,,,
27.12.2018 12:00,"12,2","766,1","771,7","0,0",97,Wind blowing from the south-southeast,3,,,"90 or more, but not 100%",Rain (not freezing) not falling as shower(s).,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",200-300,,,"7,0","11,7","0,4",6,,,,
27.12.2018 09:00,"10,7","766,1","771,7","1,0",96,Wind blowing from the south-southeast,3,,,100%.,State of sky on the whole unchanged.,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,200-300,,,"10,0","10,1","0,3",3,,,,
27.12.2018 06:00,"10,0","765,1","770,8","-0,2",99,Wind blowing from the south-southeast,4,,,100%.,"Rain, not freezing, continuous, slight at time of observation.",Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"10,5",,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,300-600,,,"6,0","9,8",1,12,,,,
27.12.2018 03:00,"12,0","765,3","770,9","0,0",79,Wind blowing from the south-east,4,,,100%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,100%.,1000-1500,,,"10,0","8,5",No precipitation,3,,,,
27.12.2018 00:00,"11,8","765,3","770,9","-0,3",78,Wind blowing from the south-southeast,4,,,70 – 80%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","8,1",No precipitation,3,,,,
26.12.2018 21:00,"10,8","765,6","771,2","0,0",89,Wind blowing from the south-east,2,,,no clouds,,,,,,,,,,,"10,0","9,1",No precipitation,12,,,,
26.12.2018 18:00,"13,8","765,6","771,1","0,4",79,Wind blowing from the south-east,3,,,"10% or less, but not 0",,,,,"17,0","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","10,1",No precipitation,3,,,,
26.12.2018 15:00,"17,0","765,2","770,7","-0,8",64,Wind blowing from the south-east,4,,,no clouds,,,,,,,,,,,"10,0","10,0",No precipitation,3,,,,
26.12.2018 12:00,"14,8","766,0","771,5","0,2",69,Wind blowing from the south-east,4,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","9,2",No precipitation,3,,,,
26.12.2018 09:00,"10,8","765,8","771,4","0,9",78,Wind blowing from the south-east,4,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","10,0","7,0",No precipitation,3,,,,
26.12.2018 06:00,"11,1","764,9","770,5","0,1",76,Wind blowing from the south-east,7,,,50%.,,,,"9,3",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","6,9",No precipitation,3,,,,
26.12.2018 03:00,"11,2","764,8","770,5","-0,3",75,Wind blowing from the south-east,5,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","6,8",No precipitation,3,,,,
26.12.2018 00:00,"10,2","765,1","770,8","-0,3",80,Wind blowing from the south-east,3,,,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","6,9",No precipitation,3,,,,
25.12.2018 21:00,"9,7","765,4","771,0","0,7",80,Wind blowing from the south-southeast,3,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","6,4",No precipitation,12,,,,
25.12.2018 18:00,"12,6","764,7","770,3","0,7",70,Wind blowing from the south-southeast,3,,,70 – 80%.,,,,,"16,6","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","10,0","7,3",No precipitation,3,,,,
25.12.2018 15:00,"16,1","764,0","769,6","-0,5",57,Wind blowing from the south-southeast,4,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","10,0","7,4",No precipitation,3,,,,
25.12.2018 12:00,"15,0","764,5","770,0","-0,4",59,Wind blowing from the south-southeast,5,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","6,9",No precipitation,3,,,,
25.12.2018 09:00,"8,4","764,9","770,6","1,1",83,Wind blowing from the south-east,2,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","5,7",No precipitation,3,,,,
25.12.2018 06:00,"9,7","763,8","769,4","-0,4",80,Wind blowing from the east-southeast,3,,,"90 or more, but not 100%",,,,"6,7",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","6,4",No precipitation,3,,,,
25.12.2018 03:00,"8,8","764,2","769,8","-0,9",87,Wind blowing from the south-southeast,3,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","10,0","6,8",,,,,,
25.12.2018 00:00,"7,7","765,1","770,8","-0,2",96,Wind blowing from the south,2,,,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","7,1",No precipitation,3,,,,
24.12.2018 21:00,"9,4","765,3","770,9","-0,1",93,Wind blowing from the east-southeast,2,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","8,3",No precipitation,12,,,,
24.12.2018 18:00,"12,2","765,4","771,0","0,3",82,Wind blowing from the north,1,,,"90 or more, but not 100%",,,,,"15,1","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","9,1",No precipitation,3,,,,
24.12.2018 15:00,"15,0","765,1","770,7",,69,Wind blowing from the south-east,2,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","9,4",No precipitation,3,,,,
24.12.2018 12:00,"13,4","766,2","771,7","-0,3",67,Wind blowing from the east-southeast,5,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","7,4",No precipitation,3,,,,
24.12.2018 09:00,"10,6","766,5","772,1","0,3",75,Wind blowing from the south-east,5,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","10,0","6,4",No precipitation,3,,,,
24.12.2018 06:00,"10,1","766,2","771,8","-0,1",82,Wind blowing from the south-southeast,5,,,50%.,,,,"10,0",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","7,2",No precipitation,3,,,,
24.12.2018 03:00,"10,6","766,3","771,9","-0,7",81,Wind blowing from the south-east,5,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","7,5",No precipitation,3,,,,
24.12.2018 00:00,"10,9","767,0","772,6","0,3",80,Wind blowing from the south-east,5,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","7,6",No precipitation,3,,,,
23.12.2018 21:00,"11,4","766,7","772,3","0,2",79,Wind blowing from the south-east,4,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","10,0","7,9",No precipitation,12,,,,
23.12.2018 18:00,"12,4","766,5","772,1","0,4",76,Wind blowing from the south-east,3,,,70 – 80%.,,,,,"15,1","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","10,0","8,3",No precipitation,3,,,,
23.12.2018 15:00,"14,5","766,1","771,7","-0,2",70,Wind blowing from the south-east,4,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","10,0","9,1",No precipitation,3,,,,
23.12.2018 12:00,"13,5","766,3","771,8","-0,4",73,Wind blowing from the south-east,7,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","10,0","8,8",No precipitation,3,,,,
23.12.2018 09:00,"10,6","766,7","772,3","0,8",85,Wind blowing from the south-east,6,,,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","8,2",No precipitation,3,,,,
23.12.2018 06:00,"10,3","765,9","771,5","-0,9",88,Wind blowing from the south-east,6,,,50%.,,,,"10,3",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","8,4",No precipitation,3,,,,
23.12.2018 03:00,"10,8","766,8","772,4","-0,1",86,Wind blowing from the south-east,5,,,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","8,6",No precipitation,3,,,,
23.12.2018 00:00,"11,2","766,9","772,5","-0,4",86,Wind blowing from the south-east,6,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","9,0",No precipitation,3,,,,
22.12.2018 21:00,"12,0","767,3","772,9","0,0",85,Wind blowing from the south-east,4,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","9,6",No precipitation,12,,,,
22.12.2018 18:00,"14,3","767,3","772,9","0,2",81,Wind blowing from the south-east,4,,,70 – 80%.,,,,,"16,8","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","11,1",No precipitation,3,,,,
22.12.2018 15:00,"16,5","767,1","772,6","-1,4",72,Wind blowing from the south-east,5,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","11,3",No precipitation,3,,,,
22.12.2018 12:00,"15,1","768,5","774,1","-0,3",74,Wind blowing from the south-east,5,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","10,5",No precipitation,3,,,,
22.12.2018 09:00,"11,2","768,8","774,4","0,5",88,Wind blowing from the south-east,3,,,60%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","9,3",No precipitation,3,,,,
22.12.2018 06:00,"10,2","768,3","773,9","-0,6",94,Wind blowing from the south-east,3,,,50%.,,,,"9,4",,Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","9,3",No precipitation,3,,,,
22.12.2018 03:00,"9,6","768,9","774,6","-0,6",97,Wind blowing from the south-southeast,3,,,40%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","10,0","9,2",No precipitation,3,,,,
22.12.2018 00:00,"10,1","769,5","775,2","0,1",93,Wind blowing from the south-southeast,2,,,50%.,Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","8,0","9,0",No precipitation,3,,,,
