Local time in Montijo (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
28.12.2018 18:00,"13,3","769,4","770,7","0,7",95,Wind blowing from the north,3,,8,40%.,,,,,"17,8",Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","12,5",No precipitation,3,,,,
28.12.2018 15:00,"17,5","768,7","770,0","-1,2",73,Wind blowing from the north,4,,6,"10% or less, but not 0",,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","12,5",No precipitation,3,,,,
28.12.2018 12:00,"15,6","769,9","771,3","-0,6",79,Wind blowing from the north-east,3,,,"10% or less, but not 0",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","12,0",No precipitation,3,,,,
28.12.2018 09:00,"13,8","770,5","771,7","1,2",99,Wind blowing from the north,1,,,"10% or less, but not 0",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","13,7",No precipitation,3,,,,
28.12.2018 06:00,"13,6","769,3","770,6","-0,7",100,Wind blowing from the north,2,,,"90 or more, but not 100%",,,,"11,8",,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",600-1000,,,"20,0","13,6",No precipitation,3,,,,
28.12.2018 03:00,"12,9","770,0","771,3","-0,1",100,Wind blowing from the west-northwest,2,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",600-1000,,,"10,0","12,9",No precipitation,3,,,,
28.12.2018 00:00,"12,6","770,1","771,4","-0,1",100,Wind blowing from the north,1,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"9,0","12,6",No precipitation,3,,,,
27.12.2018 21:00,"12,2","770,2","771,5","0,3",100,Wind blowing from the south-southeast,1,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",300-600,,,"5,0","12,2",No precipitation,12,,,,
27.12.2018 18:00,"12,5","769,9","771,2","0,3",100,Wind blowing from the north,1,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,"13,7","Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90 or more, but not 100%",1000-1500,,,"6,0","12,5",No precipitation,3,,,,
27.12.2018 15:00,"13,3","769,6","770,8","-0,7",100,Wind blowing from the north-northwest,2,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90 or more, but not 100%",100-200,,,"5,0","13,3",No precipitation,3,,,,
27.12.2018 12:00,"11,3","770,3","771,6","0,1",100,Wind blowing from the north,2,,,100%.,Mist.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,100-200,,,"5,0","11,3",No precipitation,3,,,,
27.12.2018 09:00,"9,5","770,2","771,5","0,8",100,Wind blowing from the north-east,2,,,100%.,Mist.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,100-200,,,"5,0","9,5",No precipitation,3,,,,
27.12.2018 06:00,"8,2","769,4","770,8","0,0",100,Wind blowing from the east-northeast,2,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,"5,8",,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,2","8,2",No precipitation,3,,,,
27.12.2018 03:00,"8,0","769,4","770,8","-0,2",100,Wind blowing from the east,2,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,2","8,0",No precipitation,3,,,,
27.12.2018 00:00,"6,6","769,6","770,9","0,0",100,Wind blowing from the south-east,1,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour.",Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,4","6,6",No precipitation,3,,,,
26.12.2018 21:00,"6,7","769,6","770,8","0,0",100,Wind blowing from the south-east,2,,,40%.,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",40%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1,5","6,7",No precipitation,12,,,,
26.12.2018 18:00,"9,8","769,6","770,8","0,3",100,Wind blowing from the north,1,,,no clouds,,,,,"13,4",,,,,,"20,0","9,8",No precipitation,3,,,,
26.12.2018 15:00,"12,9","769,3","770,7","-1,1",94,Wind blowing from the north,1,,,40%.,Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","9,0","12,0",No precipitation,3,,,,
26.12.2018 12:00,"9,7","770,4","771,7","0,1",100,Wind blowing from the north-northeast,2,,,100%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,50-100,,,"3,0","9,7",No precipitation,3,,,,
26.12.2018 09:00,"7,4","770,3","771,6","0,9",100,Wind blowing from the north-east,3,,,100%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,50-100,,,"1,0","7,4",No precipitation,3,,,,
26.12.2018 06:00,"7,4","769,4","770,7","0,1",100,Wind blowing from the north,3,,,"90 or more, but not 100%",Mist.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"5,7",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","7,4",No precipitation,3,,,,
26.12.2018 03:00,"7,4","769,3","770,5","0,3",100,Wind blowing from the north-northeast,4,,,60%.,Fog or ice fog.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","12,0","7,4",,,,,,
26.12.2018 00:00,"8,3","769,0","770,3","-0,3",100,Wind blowing from the north-northeast,3,,,100%.,Fog or ice fog in patches.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","8,3",No precipitation,3,,,,
25.12.2018 21:00,"7,4","769,3","770,5","0,8",100,Wind blowing from the north,1,,,100%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","7,4",No precipitation,12,,,,
25.12.2018 18:00,"10,6","768,5","769,8","0,7",100,Wind blowing from the north,2,,,"90 or more, but not 100%",,,,,"14,0","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","10,6",No precipitation,3,,,,
25.12.2018 15:00,"13,5","767,8","769,1","-0,9",81,Wind blowing from the north,3,,,100%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus castellanus or floccus.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","10,3",No precipitation,3,,,,
25.12.2018 12:00,"11,4","768,7","769,9","-0,1",85,Wind blowing from the north-northeast,4,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","9,0",No precipitation,3,,,,
25.12.2018 09:00,"8,0","768,8","770,2","1,0",100,Wind blowing from the north-east,4,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","20,0","8,0",No precipitation,3,,,,
25.12.2018 06:00,"7,1","767,8","769,0","-0,4",100,Wind blowing from the north-east,2,,,50%.,,,,"6,9",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","15,0","7,1",No precipitation,3,,,,
25.12.2018 03:00,"8,0","768,2","769,5","-0,5",100,Wind blowing from the north-east,3,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","15,0","8,0",,,,,,
25.12.2018 00:00,"8,0","768,7","770,1","-0,3",100,Wind blowing from the north-east,4,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","15,0","8,0",No precipitation,3,,,,
24.12.2018 21:00,"9,8","769,0","770,3","0,2",98,Wind blowing from the north-northeast,3,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","15,0","9,5",No precipitation,12,,,,
24.12.2018 18:00,"11,0","768,8","770,1","0,1",100,Wind blowing from the north-northeast,2,,,"90 or more, but not 100%",,,,,"12,9","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","15,0","11,0",No precipitation,3,,,,
24.12.2018 15:00,"12,6","768,7","770,0",,88,Wind blowing from the north-northeast,4,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","15,0","10,7",No precipitation,3,,,,
24.12.2018 12:00,"10,8","769,9","771,2","-0,9",92,Wind blowing from the north-east,5,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","15,0","9,6",No precipitation,3,,,,
24.12.2018 09:00,"8,1","770,8","772,0","0,6",100,Wind blowing from the north-northeast,5,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","8,1",No precipitation,3,,,,
24.12.2018 06:00,"8,1","770,2","771,4","-0,2",100,Wind blowing from the north-east,5,,,60%.,,,,"7,7",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","8,1",No precipitation,3,,,,
24.12.2018 03:00,"8,7","770,4","771,7","-0,7",100,Wind blowing from the north,3,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","8,7",No precipitation,3,,,,
24.12.2018 00:00,"8,9","771,1","772,3","0,6",100,Wind blowing from the north-northeast,4,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","8,9",No precipitation,3,,,,
23.12.2018 21:00,"10,0","770,5","771,9","0,5",100,Wind blowing from the north-northeast,4,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","10,0",No precipitation,12,,,,
23.12.2018 18:00,"12,2","770,0","771,3","0,2",98,Wind blowing from the north-northeast,4,,,"90 or more, but not 100%",,,,,"15,1","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","11,9",No precipitation,3,,,,
23.12.2018 15:00,"14,0","769,8","771,1","-1,0",84,Wind blowing from the north,3,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","11,4",No precipitation,3,,,,
23.12.2018 12:00,"12,0","770,8","772,1","0,0",83,Wind blowing from the east-northeast,3,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","9,2",No precipitation,3,,,,
23.12.2018 09:00,"7,9","770,8","772,1","0,5",100,Wind blowing from the north-northeast,3,,,100%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.",Cirrostratus not progressively invading the sky and not entirely covering it.,"12,0","7,9",No precipitation,3,,,,
23.12.2018 06:00,"8,3","770,3","771,7","-0,1",100,Wind blowing from the north-northeast,4,,,60%.,,,,"8,2",,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","10% or less, but not 0",200-300,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","8,3",No precipitation,3,,,,
23.12.2018 03:00,"9,4","770,4","771,7","-0,2",100,Wind blowing from the north-east,5,,,70 – 80%.,,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","9,4",No precipitation,3,,,,
23.12.2018 00:00,"10,2","770,6","772,0","-0,4",100,Wind blowing from the north-northeast,5,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","10,2",No precipitation,3,,,,
22.12.2018 21:00,"10,8","771,0","772,3","0,2",100,Wind blowing from the north-northeast,4,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.",Cirrostratus not progressively invading the sky and not entirely covering it.,"20,0","10,8",No precipitation,12,,,,
22.12.2018 18:00,"12,8","770,8","772,1","0,0",98,Wind blowing from the north-northeast,3,,,70 – 80%.,,,,,"16,1","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","12,5",No precipitation,3,,,,
22.12.2018 15:00,"15,9","770,8","772,0","-1,6",76,Wind blowing from the north,3,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","11,7",No precipitation,3,,,,
22.12.2018 12:00,"12,3","772,4","773,7","-0,2",95,Wind blowing from the north-northeast,4,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","11,5",No precipitation,3,,,,
22.12.2018 09:00,"8,5","772,6","773,8","0,6",100,Wind blowing from the north-east,4,,,60%.,Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","10% or less, but not 0",200-300,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","12,0","8,5",No precipitation,3,,,,
