Local time in Ovar (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
30.12.2018 12:00,"15,0","770,0","771,6","-0,6",56,Wind blowing from the east-northeast,2,,,no clouds,,,,,,,,,,,"10,0","6,1",No precipitation,3,,,,
30.12.2018 09:00,"5,0","770,6","772,3","0,7",91,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","3,7",No precipitation,3,,,,
30.12.2018 06:00,"5,6","769,9","771,4","-0,3",86,Wind blowing from the south-southeast,2,,,no clouds,,,,"3,6",,,,,,,"10,0","3,4",No precipitation,3,,,,
30.12.2018 03:00,"4,6","770,2","771,8","0,6",97,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","4,2",No precipitation,3,,,,
30.12.2018 00:00,"5,0","769,6","771,3","-0,3",94,Wind blowing from the south,2,,,no clouds,,,,,,,,,,,"10,0","4,1",No precipitation,3,,,,
29.12.2018 21:00,"10,2","769,9","771,5","0,3",81,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","7,1",No precipitation,12,,,,
29.12.2018 18:00,"13,6","769,6","771,1","0,8",63,Wind blowing from the north,1,,,no clouds,,,,,"17,6",,,,,,"10,0","6,7",No precipitation,3,,,,
29.12.2018 15:00,"17,0","768,8","770,4","-1,4",53,Wind blowing from the east-northeast,3,,,no clouds,,,,,,,,,,,"10,0","7,3",No precipitation,3,,,,
29.12.2018 12:00,"15,4","770,2","771,7","-0,9",62,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","8,0",No precipitation,3,,,,
29.12.2018 09:00,"10,4","771,1","772,6","1,3",74,Wind blowing from the north-northeast,3,,,no clouds,,,,,,,,,,,"10,0","6,0",No precipitation,3,,,,
29.12.2018 06:00,"9,6","769,8","771,4","-0,6",78,Wind blowing from the east-northeast,4,,,no clouds,,,,"9,6",,,,,,,"10,0","6,0",No precipitation,3,,,,
29.12.2018 03:00,"11,0","770,4","772,0","0,0",75,Wind blowing from the east-northeast,4,,,no clouds,,,,,,,,,,,"10,0","6,7",No precipitation,3,,,,
29.12.2018 00:00,"12,0","770,4","772,0","-0,4",65,Wind blowing from the north,1,,,no clouds,,,,,,,,,,,"10,0","5,6",No precipitation,3,,,,
28.12.2018 21:00,"11,6","770,8","772,4","0,6",71,Wind blowing from the east-northeast,3,,,no clouds,,,,,,,,,,,"10,0","6,5",No precipitation,12,,,,
28.12.2018 18:00,"12,6","770,2","771,7","0,6",72,Wind blowing from the north,1,,,no clouds,,,,,"15,8",,,,,,"10,0","7,7",No precipitation,3,,,,
28.12.2018 15:00,"15,8","769,6","771,1","-1,1",64,Wind blowing from the north-east,3,,,no clouds,,,,,,,,,,,"10,0","8,9",No precipitation,3,,,,
28.12.2018 12:00,"14,2","770,7","772,3","-0,2",70,Wind blowing from the north-east,4,,,"10% or less, but not 0",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","8,7",No precipitation,3,,,,
28.12.2018 09:00,"10,0","770,9","772,5","1,2",93,Wind blowing from the north,2,,,"10% or less, but not 0",,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","8,9",No precipitation,3,,,,
28.12.2018 06:00,"11,0","769,7","771,3","-0,3",93,Wind blowing from the north-east,2,,,100%.,Mist.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"10,8",,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,300-600,,,"9,0","9,9",No precipitation,3,,,,
28.12.2018 03:00,"11,4","770,0","771,6","0,4",96,Wind blowing from the north,1,,,100%.,Mist.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,100-200,,,"7,0","10,7",No precipitation,3,,,,
28.12.2018 00:00,"12,2","769,6","771,2","0,0",98,Wind blowing from the north,1,,,100%.,"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour.",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,100-200,,,"0,8","11,9",No precipitation,3,,,,
27.12.2018 21:00,"12,6","769,6","771,1","0,4",98,"Calm, no wind",0,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",100-200,,,"7,0","12,3",1,12,,,,
27.12.2018 18:00,"13,0","769,2","770,8","0,6",98,Wind blowing from the north,1,,,100%.,Mist.,Rain.,Drizzle.,,"14,0","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,100-200,,,"4,0","12,7",1,12,,,,
27.12.2018 15:00,"13,4","768,6","770,2","-0,5",96,Wind blowing from the south-southeast,3,,,100%.,"Drizzle and rain, slight.",Rain.,Drizzle.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,200-300,,,"3,0","12,7",,,,,,
27.12.2018 12:00,"13,2","769,1","770,7","0,1",91,Wind blowing from the south,5,,,100%.,Mist.,Shower(s).,Drizzle.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,200-300,,,"8,0","11,8","0,2",6,,,,
27.12.2018 09:00,"12,0","769,0","770,5","0,6",97,Wind blowing from the south-southeast,4,,,100%.,Mist.,Shower(s).,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,200-300,,,"9,0","11,6","0,1",3,,,,
27.12.2018 06:00,"11,6","768,4","769,9","0,0",93,Wind blowing from the south-southeast,3,,,100%.,Rain (not freezing) not falling as shower(s).,Shower(s).,Rain.,"9,6",,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,200-300,,,"10,0","10,5","0,7",12,,,,
27.12.2018 03:00,"12,0","768,4","769,9","0,0",87,Wind blowing from the south,2,,,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","90 or more, but not 100%",600-1000,,,"10,0","9,8",No precipitation,3,,,,
27.12.2018 00:00,"12,4","768,4","769,9","-0,3",80,Wind blowing from the south-southeast,2,,,60%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","9,1",No precipitation,3,,,,
26.12.2018 21:00,"9,6","768,7","770,3","0,0",95,Wind blowing from the north,1,,,60%.,,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","8,8",No precipitation,12,,,,
26.12.2018 18:00,"12,0","768,7","770,2","0,3",91,Wind blowing from the north,1,,,50%.,,,,,"17,2","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,2000-2500,Altocumulus castellanus or floccus.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","10,6",No precipitation,3,,,,
26.12.2018 15:00,"16,4","768,4","770,0","-0,8",63,Wind blowing from the south,3,,,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,2000-2500,Altocumulus castellanus or floccus.,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","10,0","9,2",No precipitation,3,,,,
26.12.2018 12:00,"14,0","769,2","770,8","0,1",62,Wind blowing from the north,1,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,2000-2500,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","6,7",No precipitation,3,,,,
26.12.2018 09:00,"4,0","769,1","770,7","0,8",97,Wind blowing from the north,1,,,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",50%.,2000-2500,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","3,6",No precipitation,3,,,,
26.12.2018 06:00,"3,2","768,3","769,9","0,2",97,Wind blowing from the north,1,,,70 – 80%.,,,,"3,2",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0",2000-2500,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","2,7",No precipitation,3,,,,
26.12.2018 03:00,"4,8","768,1","769,8","-0,1",97,Wind blowing from the north,1,,,70 – 80%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","6,0","4,4",No precipitation,3,,,,
26.12.2018 00:00,"6,8","768,2","769,8","-0,3",97,Wind blowing from the north,1,,,70 – 80%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","3,0","6,4",No precipitation,3,,,,
25.12.2018 21:00,"8,2","768,5","770,1","0,7",95,Wind blowing from the north,1,,,60%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","4,0","7,4",No precipitation,12,,,,
25.12.2018 18:00,"10,6","767,8","769,4","0,6",93,Wind blowing from the north,1,,,"90 or more, but not 100%",,,,,"14,6","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","9,5",No precipitation,3,,,,
25.12.2018 15:00,"14,0","767,2","768,8","-0,8",78,Wind blowing from the north,1,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","10,1",No precipitation,3,,,,
25.12.2018 12:00,"13,2","768,0","769,6","-0,1",83,Wind blowing from the north,1,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","10,0","10,3",No precipitation,3,,,,
25.12.2018 09:00,"5,2","768,1","769,7","0,5",97,Wind blowing from the north,1,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",40%.,2000-2500,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","4,8",No precipitation,3,,,,
25.12.2018 06:00,"4,8","767,6","769,0","0,1",97,Wind blowing from the north,1,,,70 – 80%.,,,,"4,8",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","4,4",No precipitation,3,,,,
25.12.2018 03:00,"6,2","767,5","769,1","-0,8",97,"Calm, no wind",0,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","5,8",,,,,,
25.12.2018 00:00,"6,0","768,3","769,9","-0,3",97,Wind blowing from the north,1,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","5,6",No precipitation,3,,,,
24.12.2018 21:00,"8,4","768,6","770,2","-0,1",97,"Calm, no wind",0,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","8,0",No precipitation,12,,,,
24.12.2018 18:00,"10,8","768,7","770,2","-0,1",91,Wind blowing from the north,1,,,"90 or more, but not 100%",,,,,"15,6","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","9,3",No precipitation,3,,,,
24.12.2018 15:00,"15,0","768,8","770,3",,78,Wind blowing from the north,1,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","11,2",No precipitation,3,,,,
24.12.2018 12:00,"12,6","768,8","770,3","-1,1",89,Wind blowing from the north,1,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","10,8",No precipitation,3,,,,
24.12.2018 09:00,"4,2","769,9","771,6","0,5",100,Wind blowing from the north,1,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,2000-2500,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","10,0","4,2",No precipitation,3,,,,
24.12.2018 06:00,"4,4","769,4","771,1","-0,4",100,Wind blowing from the north,1,,,70 – 80%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"4,2",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,2000-2500,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","9,0","4,4",No precipitation,3,,,,
24.12.2018 03:00,"6,4","769,8","771,4","-0,4",100,Wind blowing from the north,1,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,2000-2500,Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","6,0","6,4",No precipitation,3,,,,
24.12.2018 00:00,"7,0","770,2","771,8","0,0",100,Wind blowing from the north,1,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0",2000-2500,Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","6,0","7,0",No precipitation,3,,,,
23.12.2018 21:00,"9,8","770,2","771,7","0,5",93,Wind blowing from the north,1,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0",2000-2500,Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","10,0","8,7",No precipitation,12,,,,
23.12.2018 18:00,"12,4","769,7","771,3","0,5",87,Wind blowing from the north,1,,,"90 or more, but not 100%",,,,,"16,6","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0",2000-2500,Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","10,0","10,2",No precipitation,3,,,,
23.12.2018 15:00,"16,4","769,2","770,8","-0,4",79,Wind blowing from the north,1,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","8,0","12,7",No precipitation,3,,,,
23.12.2018 12:00,"15,0","769,6","771,1","-0,3",90,Wind blowing from the south,2,,,70 – 80%.,Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","9,0","13,3",No precipitation,3,,,,
23.12.2018 09:00,"6,8","769,9","771,5","0,5",97,Wind blowing from the north,1,,,50%.,Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","7,0","6,4",No precipitation,3,,,,
23.12.2018 06:00,"6,6","769,4","771,1","-0,4",100,Wind blowing from the north,1,,,70 – 80%.,Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,"6,6",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","4,0","6,6",No precipitation,3,,,,
23.12.2018 03:00,"7,6","769,8","771,1","-0,4",97,Wind blowing from the north,1,,,50%.,Mist.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","5,0","7,2",No precipitation,3,,,,
23.12.2018 00:00,"8,4","770,2","771,8","-0,3",97,"Calm, no wind",0,,,40%.,Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","3,0","8,0",No precipitation,3,,,,
22.12.2018 21:00,"10,6","770,5","772,0","-0,1",97,"Calm, no wind",0,,,60%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","5,0","10,2",No precipitation,12,,,,
