Local time in Coimbra / Cernache,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
01.01.2019 06:00,"5,7","757,9","773,8","-0,3",81,Wind blowing from the east-northeast,2,,,,,,,"5,7",,,,,,,,"2,6",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"3,0",,
01.01.2019 05:00,"6,5","757,8","773,7","-0,1",76,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"2,5",No precipitation,1,,,,
01.01.2019 04:00,"7,0","757,9","773,8","0,0",73,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"2,4",No precipitation,1,,,,
01.01.2019 03:00,"7,1","758,2","774,1","0,2",74,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"2,7",No precipitation,1,,,,
01.01.2019 02:00,"7,5","757,9","773,8","-0,1",73,Wind blowing from the east,2,,,,,,,,,,,,,,,"2,9",No precipitation,1,,,,
01.01.2019 01:00,"7,9","757,9","773,8","-0,1",69,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"2,6",No precipitation,1,,,,
01.01.2019 00:00,"8,4","758,0","773,8","0,1",69,Wind blowing from the east,1,,,,,,,,,,,,,,,"3,0",No precipitation,1,,,,
31.12.2018 23:00,"9,5","758,0","773,8","0,4",70,Wind blowing from the east,1,,,,,,,,,,,,,,,"4,3",No precipitation,1,,,,
31.12.2018 22:00,"9,0","758,0","773,8","0,4",75,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"4,8",No precipitation,1,,,,
31.12.2018 21:00,"10,0","757,9","773,6","0,5",75,Wind blowing from the east,2,,,,,,,,,,,,,,,"5,7",No precipitation,12,,,,
31.12.2018 20:00,"9,5","757,6","773,4","0,4",72,Wind blowing from the north-east,1,,,,,,,,,,,,,,,"4,6",No precipitation,1,,,,
31.12.2018 19:00,"11,4","757,6","773,2","0,6",62,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"4,2",No precipitation,1,,,,
31.12.2018 18:00,"12,8","757,4","772,9","0,5",61,Wind blowing from the south-east,2,,,,,,,,"17,1",,,,,,,"5,3",No precipitation,1,,,,
31.12.2018 17:00,"13,7","757,2","772,7","0,3",61,"Calm, no wind",0,,,,,,,,,,,,,,,"6,3",No precipitation,1,,,,
31.12.2018 16:00,"16,0","757,0","772,4","-0,1",52,Wind blowing from the east,1,,,,,,,,,,,,,,,"6,0",No precipitation,1,,,,
31.12.2018 15:00,"16,0","756,9","772,3","-0,7",50,Wind blowing from the north,1,,,,,,,,,,,,,,,"5,6",No precipitation,1,,,,
31.12.2018 14:00,"16,1","756,9","772,2","-1,1",48,Wind blowing from the north,1,,,,,,,,,,,,,,,"4,9",No precipitation,1,,,,
31.12.2018 13:00,"14,6","757,1","772,6","-0,8",51,Wind blowing from the north,2,,,,,,,,,,,,,,,"4,6",No precipitation,1,,,,
31.12.2018 12:00,"13,4","757,6","773,2","0,1",55,Wind blowing from the north,2,,5,,,,,,,,,,,,,"4,4",No precipitation,1,,,,
31.12.2018 11:00,"12,1","758,0","773,6","0,7",51,Wind blowing from the north,2,,5,,,,,,,,,,,,,"2,1",No precipitation,1,,,,
31.12.2018 10:00,"10,6","757,9","773,5","1,0",55,Wind blowing from the east,2,,,,,,,,,,,,,,,"1,9",No precipitation,1,,,,
31.12.2018 09:00,"8,6","757,5","773,2","0,9",60,Wind blowing from the east,3,,,,,,,,,,,,,,,"1,3",No precipitation,1,,,,
31.12.2018 08:00,"7,3","757,3","773,1","0,9",64,Wind blowing from the east,3,,6,,,,,,,,,,,,,"0,9",No precipitation,1,,,,
31.12.2018 07:00,"7,8","756,9","772,7","0,2",62,Wind blowing from the north,3,,5,,,,,,,,,,,,,"0,9",No precipitation,1,,,,
31.12.2018 06:00,"8,2","756,6","772,3","-0,3",60,Wind blowing from the east-northeast,3,,,,,,,"7,2",,,,,,,,"0,7",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"3,0",,
31.12.2018 05:00,"7,6","756,4","772,3","-0,3",63,Wind blowing from the east-northeast,3,,5,,,,,,,,,,,,,"0,9",No precipitation,1,,,,
31.12.2018 04:00,"7,6","756,7","772,6","0,1",66,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"1,5",No precipitation,1,,,,
31.12.2018 03:00,"8,4","756,9","772,6","0,2",62,Wind blowing from the north-east,3,,,,,,,,,,,,,,,"1,4",No precipitation,1,,,,
31.12.2018 02:00,"9,2","756,7","772,4","0,2",58,Wind blowing from the east-northeast,2,,5,,,,,,,,,,,,,"1,2",No precipitation,1,,,,
31.12.2018 01:00,"9,9","756,6","772,3","0,2",56,Wind blowing from the east-northeast,3,,5,,,,,,,,,,,,,"1,4",No precipitation,1,,,,
31.12.2018 00:00,"9,9","756,7","772,3","0,3",58,Wind blowing from the east-northeast,3,,5,,,,,,,,,,,,,"2,0",No precipitation,1,,,,
30.12.2018 23:00,"8,4","756,5","772,3","0,3",70,Wind blowing from the east,1,,,,,,,,,,,,,,,"3,2",No precipitation,1,,,,
30.12.2018 22:00,"9,3","756,4","772,2","0,4",67,Wind blowing from the south-east,2,,,,,,,,,,,,,,,"3,5",No precipitation,1,,,,
30.12.2018 21:00,"9,1","756,4","772,1","0,7",70,Wind blowing from the north,2,,5,,,,,,,,,,,,,"3,8",No precipitation,12,,,,
30.12.2018 20:00,"10,5","756,2","771,8","0,9",66,Wind blowing from the north-east,3,,5,,,,,,,,,,,,,"4,3",No precipitation,1,,,,
30.12.2018 19:00,"11,1","756,0","771,5","0,8",64,Wind blowing from the east-northeast,3,,7,,,,,,,,,,,,,"4,5",No precipitation,1,,,,
30.12.2018 18:00,"12,2","755,7","771,2","0,4",58,Wind blowing from the east-northeast,2,,6,,,,,,"15,2",,,,,,,"4,2",No precipitation,1,,,,
30.12.2018 17:00,"13,2","755,3","770,8","0,1",56,Wind blowing from the east-northeast,3,,5,,,,,,,,,,,,,"4,6",No precipitation,1,,,,
30.12.2018 16:00,"14,7","755,2","770,7","-0,3",56,Wind blowing from the north-east,2,,5,,,,,,,,,,,,,"6,0",No precipitation,1,,,,
30.12.2018 15:00,"15,0","755,3","770,7","-0,9",54,Wind blowing from the north-east,2,,7,,,,,,,,,,,,,"5,6",No precipitation,1,,,,
30.12.2018 14:00,"14,4","755,2","770,5","-1,8",57,Wind blowing from the north-east,3,5,5,,,,,,,,,,,,,"6,0",No precipitation,1,,,,
30.12.2018 13:00,"13,9","755,5","770,8","-1,7",58,Wind blowing from the north-east,2,,5,,,,,,,,,,,,,"5,6",No precipitation,1,,,,
30.12.2018 12:00,"12,5","756,2","771,7","-0,8",60,Wind blowing from the east-northeast,3,,6,,,,,,,,,,,,,"4,9",No precipitation,1,,,,
30.12.2018 11:00,"10,5","757,0","772,6","0,3",60,Wind blowing from the east-northeast,3,6,6,,,,,,,,,,,,,"3,0",No precipitation,1,,,,
30.12.2018 10:00,"9,4","757,2","772,9","1,1",66,Wind blowing from the east-northeast,3,6,7,,,,,,,,,,,,,"3,3",No precipitation,1,,,,
30.12.2018 09:00,"8,3","757,0","772,7","1,1",69,Wind blowing from the east-northeast,5,8,8,,,,,,,,,,,,,"2,8",No precipitation,1,,,,
30.12.2018 08:00,"7,2","756,7","772,5","0,5",75,Wind blowing from the east,3,6,7,,,,,,,,,,,,,"3,0",No precipitation,1,,,,
30.12.2018 07:00,"7,4","756,1","772,0","0,0",75,Wind blowing from the north,3,6,7,,,,,,,,,,,,,"3,3",No precipitation,1,,,,
30.12.2018 06:00,"7,7","755,9","771,7","-0,5",77,Wind blowing from the north-east,4,,,,,,,"7,5",,,,,,,,"3,8",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"5,0",,
30.12.2018 05:00,"8,3","756,2","772,0","0,1",75,Wind blowing from the east-northeast,2,,5,,,,,,,,,,,,,"4,1",No precipitation,1,,,,
30.12.2018 04:00,"9,0","756,1","771,9","0,2",72,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"4,1",No precipitation,1,,,,
30.12.2018 03:00,"9,9","756,4","772,0","0,2",67,Wind blowing from the north,1,,,,,,,,,,,,,,,"4,1",No precipitation,1,,,,
30.12.2018 02:00,"8,6","756,1","771,9","-0,2",75,Wind blowing from the north,1,,,,,,,,,,,,,,,"4,4",No precipitation,1,,,,
30.12.2018 01:00,"10,3","755,9","771,5","-0,5",70,Wind blowing from the north,2,,6,,,,,,,,,,,,,"5,1",No precipitation,1,,,,
30.12.2018 00:00,"10,3","756,2","771,8","-0,2",71,Wind blowing from the north,2,,5,,,,,,,,,,,,,"5,2",No precipitation,1,,,,
29.12.2018 23:00,"10,5","756,3","771,9","0,0",69,Wind blowing from the north,2,,5,,,,,,,,,,,,,"5,0",No precipitation,1,,,,
29.12.2018 22:00,"9,3","756,4","772,0","0,4",78,Wind blowing from the south-southeast,2,,,,,,,,,,,,,,,"5,7",No precipitation,1,,,,
29.12.2018 21:00,"10,1","756,4","772,1","0,5",75,Wind blowing from the north,1,,5,,,,,,,,,,,,,"5,8",No precipitation,12,,,,
29.12.2018 20:00,"11,3","756,3","771,8","0,5",70,Wind blowing from the east-northeast,3,,6,,,,,,,,,,,,,"6,0",No precipitation,1,,,,
29.12.2018 19:00,"11,3","756,0","771,6","0,5",69,Wind blowing from the east-northeast,2,,5,,,,,,,,,,,,,"5,8",No precipitation,1,,,,
29.12.2018 18:00,"11,8","755,9","771,4","0,5",68,Wind blowing from the east-northeast,3,,6,,,,,,"15,1",,,,,,,"6,0",No precipitation,1,,,,
29.12.2018 17:00,"12,8","755,8","771,3","0,6",65,Wind blowing from the north-east,3,,5,,,,,,,,,,,,,"6,4",No precipitation,1,,,,
29.12.2018 16:00,"14,2","755,5","771,0","-0,2",62,Wind blowing from the north,2,,,,,,,,,,,,,,,"7,0",No precipitation,1,,,,
29.12.2018 15:00,"14,8","755,4","770,8","-0,8",60,Wind blowing from the north-northeast,2,,,,,,,,,,,,,,,"7,1",No precipitation,1,,,,
29.12.2018 14:00,"14,7","755,2","770,6","-1,7",61,Wind blowing from the north-northeast,2,,,,,,,,,,,,,,,"7,2",No precipitation,1,,,,
29.12.2018 13:00,"13,9","755,7","771,1","-1,6",64,Wind blowing from the north,2,,5,,,,,,,,,,,,,"7,1",No precipitation,1,,,,
29.12.2018 12:00,"13,6","756,2","771,7","-0,8",61,Wind blowing from the north,2,,6,,,,,,,,,,,,,"6,2",No precipitation,1,,,,
29.12.2018 11:00,"12,2","756,9","772,5","0,5",65,Wind blowing from the east-northeast,3,5,6,,,,,,,,,,,,,"5,7",No precipitation,1,,,,
29.12.2018 10:00,"11,3","757,3","772,9","1,2",70,Wind blowing from the north,1,,5,,,,,,,,,,,,,"5,9",No precipitation,1,,,,
29.12.2018 09:00,"8,9","757,0","772,8","1,1",83,"Calm, no wind",0,,,,,,,,,,,,,,,"6,1",No precipitation,1,,,,
29.12.2018 08:00,"8,1","756,4","772,2","0,6",85,Wind blowing from the east-northeast,2,,5,,,,,,,,,,,,,"5,7",No precipitation,1,,,,
29.12.2018 07:00,"8,9","756,1","771,8","-0,1",82,Wind blowing from the north-east,4,6,7,,,,,,,,,,,,,"5,9",No precipitation,1,,,,
29.12.2018 06:00,"8,4","755,9","771,7","-0,4",84,Wind blowing from the north,1,,,,,,,"8,4",,,,,,,,"5,8",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"7,0",,
29.12.2018 05:00,"9,1","755,8","771,4","-0,3",80,Wind blowing from the east-northeast,3,,6,,,,,,,,,,,,,"5,8",No precipitation,1,,,,
29.12.2018 04:00,"9,3","756,2","771,9","0,0",80,Wind blowing from the east-northeast,3,6,6,,,,,,,,,,,,,"6,0",No precipitation,1,,,,
29.12.2018 03:00,"9,2","756,3","772,0","-0,3",80,Wind blowing from the east-northeast,3,7,9,,,,,,,,,,,,,"5,8",No precipitation,1,,,,
29.12.2018 02:00,"9,7","756,1","771,8","-0,6",77,Wind blowing from the east-northeast,4,11,11,,,,,,,,,,,,,"5,9",No precipitation,1,,,,
29.12.2018 01:00,"9,8","756,2","771,9","-0,5",76,Wind blowing from the north,3,8,8,,,,,,,,,,,,,"5,8",No precipitation,1,,,,
29.12.2018 00:00,"9,7","756,6","772,3","0,0",78,Wind blowing from the east-northeast,3,,5,,,,,,,,,,,,,"6,0",No precipitation,1,,,,
28.12.2018 23:00,"10,3","756,7","772,4","0,3",75,Wind blowing from the north-east,3,7,7,,,,,,,,,,,,,"6,1",No precipitation,1,,,,
28.12.2018 22:00,"9,7","756,7","772,3","0,3",77,Wind blowing from the east-northeast,2,,7,,,,,,,,,,,,,"5,8",No precipitation,1,,,,
28.12.2018 21:00,"10,4","756,6","772,3","0,2",74,Wind blowing from the north-east,3,,7,,,,,,,,,,,,,"6,0",No precipitation,12,,,,
28.12.2018 20:00,"10,2","756,4","772,1","0,0",76,Wind blowing from the east-northeast,3,6,6,,,,,,,,,,,,,"6,2",No precipitation,1,,,,
28.12.2018 19:00,"10,2","756,4","772,0","0,3",78,Wind blowing from the east-northeast,3,,6,,,,,,,,,,,,,"6,5",No precipitation,1,,,,
28.12.2018 18:00,"11,2","756,4","772,0","0,5",74,Wind blowing from the north-east,4,7,7,,,,,,"13,7",,,,,,,"6,7",No precipitation,1,,,,
28.12.2018 17:00,"11,9","756,4","771,9","0,5",73,Wind blowing from the north-northeast,3,,6,,,,,,,,,,,,,"7,1",No precipitation,1,,,,
28.12.2018 16:00,"13,2","756,1","771,6","0,0",70,Wind blowing from the east-northeast,3,5,6,,,,,,,,,,,,,"7,8",No precipitation,1,,,,
28.12.2018 15:00,"13,6","755,9","771,4","-0,9",69,Wind blowing from the east-northeast,3,,7,,,,,,,,,,,,,"8,0",No precipitation,1,,,,
28.12.2018 14:00,"13,6","755,9","771,4","-1,4",70,Wind blowing from the north,3,6,7,,,,,,,,,,,,,"8,2",No precipitation,1,,,,
28.12.2018 13:00,"12,7","756,1","771,7","-1,2",72,Wind blowing from the east-northeast,4,8,8,,,,,,,,,,,,,"7,8",No precipitation,1,,,,
28.12.2018 12:00,"12,1","756,8","772,3","-0,3",80,Wind blowing from the east-northeast,4,7,7,,,,,,,,,,,,,"8,7",No precipitation,1,,,,
28.12.2018 11:00,"11,4","757,3","772,9","0,5",100,Wind blowing from the east-northeast,3,6,7,,,,,,,,,,,,,"11,4",No precipitation,1,,,,
28.12.2018 10:00,"10,8","757,3","772,9","0,9",,Wind blowing from the north,3,5,7,,,,,,,,,,,,,,No precipitation,1,,,,
28.12.2018 09:00,"9,5","757,1","772,8","1,0",,Wind blowing from the east-northeast,3,6,6,,,,,,,,,,,,,,No precipitation,1,,,,
28.12.2018 08:00,"9,3","756,8","772,6","0,8",,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,,No precipitation,1,,,,
28.12.2018 07:00,"10,2","756,4","772,0","0,3",,Wind blowing from the north,2,,,,,,,,,,,,,,,,No precipitation,1,,,,
28.12.2018 06:00,"10,2","756,1","771,7","-0,2",,Wind blowing from the east-northeast,1,,,,,,,"10,0",,,,,,,,,,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"10,0",,
28.12.2018 05:00,"10,2","756,0","771,7","-0,1",,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,,No precipitation,1,,,,
28.12.2018 04:00,"10,3","756,1","771,8","0,2",,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,,No precipitation,1,,,,
28.12.2018 03:00,"10,3","756,3","771,9","0,2",,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,,No precipitation,1,,,,
28.12.2018 02:00,"10,3","756,1","771,7",,,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,,No precipitation,1,,,,
28.12.2018 01:00,"10,4","755,9","771,6",,,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,,No precipitation,1,,,,
28.12.2018 00:00,"10,4","756,1","771,7",,,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,,No precipitation,1,,,,
27.12.2018 23:00,"10,5","756,4","772,0",,3,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"-33,0",No precipitation,1,,,,
27.12.2018 10:00,"10,1","756,2","771,8","1,0",,Wind blowing from the east-southeast,2,,,,,,,,,,,,,,,,No precipitation,1,,,,
27.12.2018 09:00,"10,1","755,8","771,4","0,6",,Wind blowing from the south-southeast,3,,5,,,,,,,,,,,,,,2,1,,,,
27.12.2018 08:00,"9,3","755,5","771,2","0,5",,Wind blowing from the east-southeast,2,,,,,,,,,,,,,,,,No precipitation,1,,,,
27.12.2018 07:00,"9,2","755,2","770,8","0,0",,Wind blowing from the north,2,,,,,,,,,,,,,,,,"0,7",1,,,,
27.12.2018 06:00,"9,7","755,2","770,9","0,1",95,Wind blowing from the south-southeast,3,,,,,,,"9,7",,,,,,,,"8,9",1,12,Surface of ground moist.,"8,0",,
27.12.2018 05:00,"11,4","755,0","770,5","0,1",76,Wind blowing from the south-east,2,,,,,,,,,,,,,,,"7,2",No precipitation,1,,,,
27.12.2018 04:00,"10,7","755,2","770,8","0,2",78,Wind blowing from the south-east,2,,,,,,,,,,,,,,,"7,0",No precipitation,1,,,,
27.12.2018 03:00,"11,4","755,1","770,7","-0,2",76,Wind blowing from the south,2,,5,,,,,,,,,,,,,"7,2",No precipitation,1,,,,
27.12.2018 02:00,"12,3","754,9","770,5","-0,4",68,Wind blowing from the south-east,3,,5,,,,,,,,,,,,,"6,6",No precipitation,1,,,,
27.12.2018 01:00,"11,6","755,0","770,6","-0,3",73,Wind blowing from the south-east,2,,,,,,,,,,,,,,,"6,8",No precipitation,1,,,,
27.12.2018 00:00,"10,4","755,3","770,9","-0,1",79,Wind blowing from the south,2,,,,,,,,,,,,,,,"6,9",No precipitation,1,,,,
26.12.2018 23:00,"12,2","755,3","770,8","-0,2",69,Wind blowing from the south-east,2,,,,,,,,,,,,,,,"6,6",No precipitation,1,,,,
26.12.2018 22:00,"11,3","755,3","770,9","-0,2",73,Wind blowing from the south-east,2,,,,,,,,,,,,,,,"6,5",No precipitation,1,,,,
26.12.2018 21:00,"11,3","755,4","771,0","0,0",73,Wind blowing from the south,2,,,,,,,,,,,,,,,"6,6",No precipitation,12,,,,
26.12.2018 20:00,"11,7","755,5","771,1","0,3",70,Wind blowing from the south-southeast,2,,5,,,,,,,,,,,,,"6,4",No precipitation,1,,,,
26.12.2018 19:00,"12,3","755,5","771,0","0,3",70,Wind blowing from the south-southeast,3,,,,,,,,,,,,,,,"7,0",No precipitation,1,,,,
26.12.2018 18:00,"13,1","755,4","770,8","0,4",67,Wind blowing from the south,2,,,,,,,,"17,4",,,,,,,"7,1",No precipitation,1,,,,
26.12.2018 17:00,"14,6","755,2","770,6","0,3",60,Wind blowing from the south,1,,6,,,,,,,,,,,,,"6,8",No precipitation,1,,,,
26.12.2018 16:00,"16,7","755,2","770,5","0,0",53,Wind blowing from the south,2,,6,,,,,,,,,,,,,"6,9",No precipitation,1,,,,
26.12.2018 15:00,"17,0","755,0","770,3","-0,8",52,Wind blowing from the south,4,6,7,,,,,,,,,,,,,"7,1",No precipitation,1,,,,
26.12.2018 14:00,"16,9","754,9","770,2","-0,9",52,Wind blowing from the south,4,7,8,,,,,,,,,,,,,"7,0",No precipitation,1,,,,
26.12.2018 13:00,"16,6","755,2","770,5","-0,7",53,Wind blowing from the south,5,8,,,,,,,,,,,,,,"6,9",No precipitation,1,,,,
26.12.2018 12:00,"16,2","755,8","771,2","0,0",56,Wind blowing from the south-southwest,4,8,9,,,,,,,,,,,,,"7,3",No precipitation,1,,,,
26.12.2018 11:00,"15,8","755,8","771,1","0,4",56,Wind blowing from the south-east,4,6,6,,,,,,,,,,,,,"7,0",No precipitation,1,,,,
26.12.2018 10:00,"11,5","755,9","771,5","0,7",65,Wind blowing from the north,2,,,,,,,,,,,,,,,"5,0",No precipitation,1,,,,
26.12.2018 09:00,"8,3","755,8","771,5","0,8",74,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"3,8",No precipitation,1,,,,
26.12.2018 08:00,"7,8","755,4","771,1","0,5",73,Wind blowing from the north,2,,,,,,,,,,,,,,,"3,3",No precipitation,1,,,,
26.12.2018 07:00,"8,0","755,2","771,0","0,6",71,Wind blowing from the east-southeast,2,,,,,,,,,,,,,,,"3,0",No precipitation,1,,,,
26.12.2018 06:00,"8,7","755,0","770,7","0,4",69,Wind blowing from the south,2,,,,,,,"6,6",,,,,,,,"3,2",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"4,0",,
26.12.2018 05:00,"7,8","754,9","770,6","0,3",75,Wind blowing from the east,1,,,,,,,,,,,,,,,"3,6",No precipitation,1,,,,
26.12.2018 04:00,"6,6","754,6","770,5","-0,1",88,Wind blowing from the east,1,,,,,,,,,,,,,,,"4,7",No precipitation,1,,,,
26.12.2018 03:00,"7,2","754,6","770,4","-0,3",88,Wind blowing from the east,1,,,,,,,,,,,,,,,"5,4",No precipitation,1,,,,
26.12.2018 02:00,"7,7","754,6","770,4","-0,4",92,Wind blowing from the east,1,,,,,,,,,,,,,,,"6,5",No precipitation,1,,,,
26.12.2018 01:00,"7,8","754,7","770,5","-0,5",97,Wind blowing from the east-southeast,1,,,,,,,,,,,,,,,"7,4",No precipitation,1,,,,
26.12.2018 00:00,"9,0","754,9","770,6","-0,3",89,Wind blowing from the east-southeast,1,,,,,,,,,,,,,,,"7,2",No precipitation,1,,,,
25.12.2018 23:00,"9,1","755,0","770,8","-0,1",89,Wind blowing from the east,2,,,,,,,,,,,,,,,"7,3",No precipitation,1,,,,
25.12.2018 22:00,"10,7","755,2","770,8","0,2",79,Wind blowing from the east-southeast,2,,,,,,,,,,,,,,,"7,1",No precipitation,1,,,,
25.12.2018 21:00,"11,8","755,2","770,8","0,6",75,Wind blowing from the south-east,3,,,,,,,,,,,,,,,"7,4",No precipitation,12,,,,
25.12.2018 20:00,"11,7","755,1","770,7","0,8",75,Wind blowing from the south-southeast,2,,,,,,,,,,,,,,,"7,3",No precipitation,1,,,,
25.12.2018 19:00,"12,5","755,0","770,5","1,0",69,Wind blowing from the south-east,2,,,,,,,,,,,,,,,"7,0",No precipitation,1,,,,
25.12.2018 18:00,"12,3","754,6","770,1","0,6",71,Wind blowing from the east-southeast,1,,,,,,,,"14,2",,,,,,,"7,2",No precipitation,1,,,,
25.12.2018 17:00,"11,7","754,3","769,9","0,3",81,Wind blowing from the east,2,,,,,,,,,,,,,,,"8,5",No precipitation,1,,,,
25.12.2018 16:00,"12,9","754,0","769,5","-0,3",73,Wind blowing from the east,2,,,,,,,,,,,,,,,"8,1",No precipitation,1,,,,
25.12.2018 15:00,"13,2","754,0","769,4","-0,5",68,Wind blowing from the east-northeast,2,,5,,,,,,,,,,,,,"7,3",No precipitation,1,,,,
25.12.2018 14:00,"13,4","754,0","769,4","-0,9",62,Wind blowing from the east,2,,,,,,,,,,,,,,,"6,3",No precipitation,1,,,,
25.12.2018 13:00,"13,4","754,3","769,7","-0,8",63,Wind blowing from the east-southeast,2,,,,,,,,,,,,,,,"6,5",No precipitation,1,,,,
25.12.2018 12:00,"12,5","754,5","769,9","-0,4",65,Wind blowing from the north,2,,5,,,,,,,,,,,,,"6,1",No precipitation,1,,,,
25.12.2018 11:00,"10,9","754,9","770,5","0,3",66,Wind blowing from the north,2,,5,,,,,,,,,,,,,"4,8",No precipitation,1,,,,
25.12.2018 10:00,"9,3","755,1","770,8","1,1",70,Wind blowing from the north,2,,6,,,,,,,,,,,,,"4,0",No precipitation,1,,,,
25.12.2018 09:00,"7,8","754,9","770,6","1,2",78,Wind blowing from the north,2,,5,,,,,,,,,,,,,"4,1",No precipitation,1,,,,
25.12.2018 08:00,"7,1","754,6","770,3","1,2",81,Wind blowing from the north,1,,,,,,,,,,,,,,,"4,0",No precipitation,1,,,,
25.12.2018 07:00,"7,2","754,0","769,9","0,3",82,Wind blowing from the east,1,,,,,,,,,,,,,,,"4,3",No precipitation,1,,,,
25.12.2018 06:00,"7,5","753,7","769,5","-0,6",83,Wind blowing from the east,2,,,,,,,"7,5",,,,,,,,"4,7",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"6,0",,
25.12.2018 05:00,"7,8","753,4","769,2","-0,9",83,Wind blowing from the east-northeast,4,6,6,,,,,,,,,,,,,"5,0",No precipitation,1,,,,
25.12.2018 04:00,"7,8","753,7","769,4","-0,9",87,Wind blowing from the east-northeast,3,7,7,,,,,,,,,,,,,"5,7",No precipitation,1,,,,
25.12.2018 03:00,"8,0","754,3","770,0","-0,6",84,Wind blowing from the east-northeast,3,5,7,,,,,,,,,,,,,"5,4",No precipitation,1,,,,
25.12.2018 02:00,"8,3","754,3","770,0","-0,9",82,Wind blowing from the east-northeast,3,6,7,,,,,,,,,,,,,"5,4",No precipitation,1,,,,
25.12.2018 01:00,"8,6","754,6","770,3","-0,6",78,Wind blowing from the east-northeast,3,7,7,,,,,,,,,,,,,"5,0",No precipitation,1,,,,
