Local time in Beja (weather station),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
29.12.2018 15:00,"13,9","751,6","769,2","-1,0",60,Wind blowing from the east-northeast,7,10,11,no clouds,,,,,,,,,,,"20,0","6,3",No precipitation,3,,,,
29.12.2018 12:00,"11,6","752,6","770,3","-0,8",74,Wind blowing from the east-northeast,6,9,10,no clouds,,,,,,,,,,,"20,0","7,0",No precipitation,3,,,,
29.12.2018 09:00,"5,6","753,4","771,5","0,9",100,Wind blowing from the east,4,,,no clouds,Fog or ice fog in patches.,Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"3,0","5,6",No precipitation,3,,,,
29.12.2018 06:00,"6,2","752,5","770,6","-0,6",100,Wind blowing from the east,5,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,"3,0",,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,2","6,2",No precipitation,3,,,,
29.12.2018 03:00,"3,9","753,1","771,3","-0,2",100,Wind blowing from the east,1,,,no clouds,"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour.",Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,,,,"0,9","3,9",No precipitation,3,,,,
29.12.2018 00:00,"7,2","753,3","771,3","-0,1",94,Wind blowing from the east-northeast,3,,,no clouds,,,,,,,,,,,"20,0","6,3",No precipitation,3,,,,
28.12.2018 21:00,"7,9","753,4","771,4","0,0",91,Wind blowing from the east-northeast,3,,,no clouds,,,,,,,,,,,"20,0","6,5",No precipitation,12,,,,
28.12.2018 18:00,"10,0","753,4","771,2","0,7",88,Wind blowing from the east,3,,,"10% or less, but not 0",,,,,"15,0",Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","8,0",No precipitation,3,,,,
28.12.2018 15:00,"14,5","752,7","770,2","-0,9",75,Wind blowing from the north-east,2,,,50%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","20,0","10,0",No precipitation,3,,,,
28.12.2018 12:00,"12,3","753,6","771,3","-0,5",87,Wind blowing from the north-northeast,2,,,"90 or more, but not 100%",State of sky on the whole unchanged.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","90 or more, but not 100%",300-600,,,"20,0","10,1",No precipitation,3,,,,
28.12.2018 09:00,"10,7","754,1","771,9","1,1",100,Wind blowing from the north-northeast,2,,,"90 or more, but not 100%",Clouds generally dissolving or becoming less developed.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90 or more, but not 100%",200-300,,,"12,0","10,7",No precipitation,3,,,,
28.12.2018 06:00,"10,0","753,0","770,8","-0,6",100,Wind blowing from the north-west,2,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible (has become thinner during the preceding hour).",Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,"10,0",,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,6","10,0",No precipitation,3,,,,
28.12.2018 03:00,"11,2","753,6","771,4","-0,1",100,Wind blowing from the north-northwest,5,8,8,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible (has become thinner during the preceding hour).",Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,9","11,2",No precipitation,3,,,,
28.12.2018 00:00,"11,0","753,7","771,5","-0,3",100,Wind blowing from the north-west,2,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible (has become thinner during the preceding hour).",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,4","11,0",No precipitation,3,,,,
27.12.2018 21:00,"11,6","754,0","771,8","0,1",100,Wind blowing from the north-west,3,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour.",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,4","11,6",Trace of precipitation,12,,,,
27.12.2018 18:00,"12,4","753,9","771,6","0,4",98,Wind blowing from the west-northwest,2,,,100%.,Fog or ice fog in patches.,Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,"14,3","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,300-600,,,"2,0","12,1",Trace of precipitation,12,,,,
27.12.2018 15:00,"13,7","753,5","771,1","-0,8",94,Wind blowing from the north-west,2,,,100%.,"Drizzle, not freezing, intermittent, slight at time of observation.",Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,200-300,,,"2,0","12,8",,,,,,
27.12.2018 12:00,"11,7","754,3","772,0","-0,1",100,Wind blowing from the north-northwest,2,,,100%.,Fog or ice fog in patches.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",100%.,100-200,,,"1,0","11,7",No precipitation,3,,,,
27.12.2018 09:00,"6,5","754,4","772,5","0,9",100,Wind blowing from the north,1,,,40%.,Fog or ice fog in patches.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",40%.,50-100,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","1,8","6,5",No precipitation,3,,,,
27.12.2018 06:00,"5,8","753,5","771,7","-0,2",100,Wind blowing from the south-east,2,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour.",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,"3,6",,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,2","5,8",No precipitation,3,,,,
27.12.2018 03:00,"4,6","753,7","772,0","0,0",100,Wind blowing from the north-east,1,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour.",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,2","4,6",No precipitation,3,,,,
27.12.2018 00:00,"6,6","753,7","771,8","-0,1",99,Wind blowing from the east,1,,,"10% or less, but not 0","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","10% or less, but not 0",200-300,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1,2","6,5",No precipitation,3,,,,
26.12.2018 21:00,"8,5","753,8","771,7","0,1",96,Wind blowing from the east-southeast,2,,,20–30%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","7,9",No precipitation,12,,,,
26.12.2018 18:00,"11,8","753,7","771,4","0,3",83,Wind blowing from the south-east,2,,,20–30%.,,,,,"16,3","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","9,0",No precipitation,3,,,,
26.12.2018 15:00,"16,2","753,4","770,9","-0,9",63,Wind blowing from the south-east,4,,,"10% or less, but not 0",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","9,2",No precipitation,3,,,,
26.12.2018 12:00,"13,0","754,3","772,0","-0,2",81,Wind blowing from the south-east,5,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","9,7",No precipitation,3,,,,
26.12.2018 09:00,"6,4","754,5","772,6","0,9",100,Wind blowing from the east,3,,,60%.,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",20–30%.,100-200,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","5,0","6,4",No precipitation,3,,,,
26.12.2018 06:00,"6,4","753,6","771,7","0,0",100,Wind blowing from the east,3,,,70 – 80%.,"Fog or ice fog, sky visible (has become thinner during the preceding hour).",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"5,5",,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,50-100,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","0,8","6,4",No precipitation,3,,,,
26.12.2018 03:00,"8,3","753,6","771,5","-0,1",100,Wind blowing from the east-southeast,4,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour.",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,2","8,3",No precipitation,3,,,,
26.12.2018 00:00,"6,8","753,7","771,8","0,3",99,Wind blowing from the east,2,,,60%.,"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","10,0","6,7",No precipitation,3,,,,
25.12.2018 21:00,"9,4","753,4","771,3","0,9",96,Wind blowing from the east,2,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","8,8",No precipitation,12,,,,
25.12.2018 18:00,"12,0","752,5","770,2","0,9",85,Wind blowing from the east,3,,,70 – 80%.,,,,,"17,0","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","9,6",No precipitation,3,,,,
25.12.2018 15:00,"15,6","751,6","769,0","-0,9",71,,,,,,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","10,3",No precipitation,3,,,,
25.12.2018 12:00,"13,1","752,5","770,2","-0,5",76,Wind blowing from the east-southeast,4,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","9,0",No precipitation,3,,,,
25.12.2018 09:00,"7,2","753,0","771,0","1,5",96,Wind blowing from the east-southeast,2,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","6,6",No precipitation,3,,,,
25.12.2018 06:00,"7,1","751,5","769,5","-0,4",97,Wind blowing from the east-southeast,2,,,100%.,,,,"6,9",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","20,0","6,7",No precipitation,3,,,,
25.12.2018 03:00,"7,8","751,9","769,9","-0,7",96,Wind blowing from the east,4,,,100%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","20,0","7,2",No precipitation,3,,,,
25.12.2018 00:00,"7,4","752,6","770,6","0,2",96,Wind blowing from the north,1,,,100%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",20–30%.,"2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","6,8",No precipitation,3,,,,
24.12.2018 21:00,"9,0","752,4","770,2","-0,2",92,Wind blowing from the east,3,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","7,8",No precipitation,12,,,,
24.12.2018 18:00,"10,6","752,6","770,4","0,1",88,Wind blowing from the east-southeast,2,,,"90 or more, but not 100%",,,,,"14,3","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","8,7",No precipitation,3,,,,
24.12.2018 15:00,"14,2","752,5","770,0",,67,Wind blowing from the east,3,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","8,0",No precipitation,3,,,,
24.12.2018 12:00,"10,8","753,8","771,6","-0,4",89,Wind blowing from the east,4,,,70 – 80%.,State of sky on the whole unchanged.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10% or less, but not 0","2500 or more, or no clouds.",Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","9,1",No precipitation,3,,,,
24.12.2018 09:00,"6,1","754,2","772,3","0,5",100,Wind blowing from the east,3,,,60%.,Fog or ice fog in patches.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2,0","6,1",No precipitation,3,,,,
24.12.2018 06:00,"5,7","753,7","771,8","-0,6",100,Wind blowing from the east,3,,,60%.,"Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour.",Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,"5,5",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","0,8","5,7",No precipitation,3,,,,
24.12.2018 03:00,"7,3","754,3","772,3","-0,9",97,Wind blowing from the east,4,,,"90 or more, but not 100%","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","8,0","6,9",No precipitation,3,,,,
24.12.2018 00:00,"8,2","755,2","773,2","0,4",96,Wind blowing from the east,2,,,"90 or more, but not 100%","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer.",Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","8,0","7,6",No precipitation,3,,,,
23.12.2018 21:00,"9,6","754,8","772,7","0,5",89,Wind blowing from the east-southeast,3,,,"90 or more, but not 100%",,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","7,9",No precipitation,12,,,,
23.12.2018 18:00,"12,0","754,3","772,0","0,3",83,Wind blowing from the east,3,,,70 – 80%.,,,,,"16,6","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","9,2",No precipitation,3,,,,
23.12.2018 15:00,"16,1","754,0","771,5","-1,0",63,Wind blowing from the south-east,4,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","9,1",No precipitation,3,,,,
23.12.2018 12:00,"11,1","755,0","772,8","0,3",99,Wind blowing from the east-southeast,4,,,70 – 80%.,Clouds generally dissolving or becoming less developed.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","10,9",No precipitation,3,,,,
23.12.2018 09:00,"6,2","754,7","772,9","0,6",100,Wind blowing from the east,4,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,2","6,2",No precipitation,3,,,,
23.12.2018 06:00,"6,4","754,1","772,2","-0,2",98,Wind blowing from the east-southeast,4,,,40%.,,,,"6,3",,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","6,1",No precipitation,3,,,,
23.12.2018 03:00,"7,5","754,3","772,3","-0,3",97,Wind blowing from the east-southeast,4,,,40%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","7,1",No precipitation,3,,,,
23.12.2018 00:00,"8,0","754,6","772,6","-0,3",97,Wind blowing from the east,3,,,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","7,6",No precipitation,3,,,,
