Local time in Alverca (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
19.12.2018 12:00,"13,8","770,1","770,5","0,5",90,Wind blowing from the south,3,,,"90 or more, but not 100%",Clouds generally forming or developing.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.","12,0","12,2","0,1",6,,,,
19.12.2018 09:00,"9,8","769,6","769,9",,95,Wind blowing from the north,1,,,50%.,Cloud development not observed or not observable.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",300-600,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","12,0","9,0","0,1",3,,,,
18.12.2018 15:00,"15,4","763,5","763,8","-1,9",94,Wind blowing from the south-southwest,8,,15,100%.,"Rain, not freezing, continuous, slight at time of observation.",Shower(s).,Rain.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",60%.,200-300,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"6,0","14,5",3,3,,,,
18.12.2018 12:00,"15,0","765,4","765,7","-0,7",87,Wind blowing from the south-southwest,7,11,11,100%.,Shower(s) of rain.,Shower(s).,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,300-600,,,"12,0","12,8",Trace of precipitation,6,,,,
18.12.2018 09:00,"9,5","766,1","766,4",,82,Wind blowing from the north,2,,,"90 or more, but not 100%",Cloud development not observed or not observable.,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.","15,0","6,6",No precipitation,3,,,,
17.12.2018 15:00,"12,7","769,9","770,2","-1,7",83,Wind blowing from the east-northeast,2,,,60%.,,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","12,0","9,9",No precipitation,3,,,,
17.12.2018 12:00,"9,0","771,6","771,9","-0,7",97,Wind blowing from the east,2,,,100%.,Mist.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,100-200,,,"3,0","8,6",No precipitation,3,,,,
17.12.2018 09:00,"7,6","772,3","772,6",,98,Wind blowing from the north-east,2,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",,,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,3","7,3",No precipitation,3,,,,
14.12.2018 15:00,"15,8","769,8","770,1","-0,7",60,Wind blowing from the north-west,4,,,60%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","15,0","8,1",No precipitation,3,,,,
14.12.2018 12:00,"15,6","770,5","770,8","0,3",67,Wind blowing from the north-west,4,,,70 – 80%.,Clouds generally forming or developing.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.","12,0","9,4",No precipitation,3,,,,
14.12.2018 09:00,"10,6","770,2","770,5",,88,Wind blowing from the north,1,,,50%.,Cloud development not observed or not observable.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10% or less, but not 0",600-1000,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.","12,0","8,7",No precipitation,3,,,,
12.12.2018 15:00,"16,4","765,2","765,5","-2,0",74,Wind blowing from the south-west,6,,,"90 or more, but not 100%",,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","11,8",No precipitation,3,,,,
12.12.2018 12:00,"15,0","767,2","767,5","-0,9",86,Wind blowing from the south,3,,,70 – 80%.,State of sky on the whole unchanged.,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","12,0","12,7",No precipitation,3,,,,
12.12.2018 09:00,"13,4","768,1","768,4",,91,Wind blowing from the north,1,,,"90 or more, but not 100%",Cloud development not observed or not observable.,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90 or more, but not 100%",1000-1500,,,"12,0","12,0",No precipitation,3,,,,
11.12.2018 15:00,"14,1","766,9","767,2","-0,9",82,Wind blowing from the east-northeast,2,,,100%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"12,0","11,0",No precipitation,3,,,,
11.12.2018 12:00,"12,3","767,8","768,1","0,4",84,Wind blowing from the north-east,3,,,100%.,State of sky on the whole unchanged.,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"12,0","9,6",No precipitation,3,,,,
11.12.2018 09:00,"9,8","767,4","767,7",,90,Wind blowing from the north-east,3,,,100%.,Cloud development not observed or not observable.,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"12,0","8,3",No precipitation,3,,,,
10.12.2018 15:00,"17,6","767,8","768,1","-2,0",69,Wind blowing from the north-east,3,,,70 – 80%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","20,0","11,7",No precipitation,3,,,,
10.12.2018 12:00,"16,1","769,8","770,1","-0,6",68,Wind blowing from the north-east,6,,,70 – 80%.,Clouds generally forming or developing.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","10,2",No precipitation,3,,,,
10.12.2018 09:00,"14,2","770,4","770,7",,71,Wind blowing from the north-east,4,,,50%.,Cloud development not observed or not observable.,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","8,9",No precipitation,3,,,,
07.12.2018 15:00,"16,9","772,6","772,9","-1,0",70,Wind blowing from the north,4,,8,70 – 80%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","11,4",No precipitation,3,,,,
07.12.2018 12:00,"14,8","773,6","773,9","0,3",81,Wind blowing from the north,3,,,70 – 80%.,State of sky on the whole unchanged.,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",70 – 80%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","15,0","11,6",No precipitation,3,,,,
07.12.2018 09:00,"13,0","773,3","773,6",,91,Wind blowing from the north,4,,9,70 – 80%.,Mist.,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",70 – 80%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","12,0","11,5",No precipitation,3,,,,
06.12.2018 15:00,"20,6","771,2","771,5","-1,6",66,Wind blowing from the north,4,,,no clouds,,,,,,,,,,,"15,0","13,9",No precipitation,3,,,,
06.12.2018 12:00,"15,5","772,8","773,1","0,0",80,Wind blowing from the east,1,,,no clouds,Mist.,,,,,,,,,,"9,0","12,0",No precipitation,3,,,,
06.12.2018 09:00,"9,8","772,8","773,1",,97,Wind blowing from the east-northeast,1,,,"10% or less, but not 0",Mist.,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","10% or less, but not 0",100-200,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","7,0","9,3",No precipitation,3,,,,
05.12.2018 15:00,"17,2","769,5","769,8","-1,3",72,Wind blowing from the north,1,,,20–30%.,Mist.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","8,0","12,1",No precipitation,3,,,,
05.12.2018 12:00,"10,7","770,8","770,3",,99,Wind blowing from the north,1,,,40%.,Fog or ice fog.,Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",40%.,100-200,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","7,0","10,5",No precipitation,3,,,,
05.12.2018 09:00,"7,7","770,0","770,3",,98,"Calm, no wind",0,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",,,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,3","7,4",No precipitation,3,,,,
04.12.2018 15:00,"15,6","766,2","766,5","-0,7",71,Wind blowing from the south-west,2,,,50%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","12,0","10,4",No precipitation,3,,,,
04.12.2018 12:00,"10,1","766,9","767,2","-0,3",92,Wind blowing from the east,3,,,50%.,Mist.,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","7,0","8,9",No precipitation,3,,,,
04.12.2018 09:00,"9,2","767,2","767,5",,94,Wind blowing from the east-northeast,4,,,70 – 80%.,Mist.,,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",70 – 80%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","7,0","8,3",No precipitation,3,,,,
03.12.2018 15:00,"15,8","767,5","767,8","-1,5",76,Wind blowing from the east-northeast,4,,,"90 or more, but not 100%",,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","12,0","11,6",No precipitation,3,,,,
03.12.2018 12:00,"14,5","769,0","769,3","0,8",81,Wind blowing from the east-northeast,2,,,"90 or more, but not 100%",Mist.,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",300-600,Altocumulus translucidus at a single level.,"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","9,0","11,2",No precipitation,3,,,,
03.12.2018 09:00,"11,8","768,2","768,5",,98,Wind blowing from the east-northeast,2,,,100%.,Mist.,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,40%.,100-200,Altocumulus translucidus at a single level.,"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","5,0","11,5",No precipitation,3,,,,
30.11.2018 15:00,"14,9","767,6","767,9","-1,0",89,Wind blowing from the south-east,2,,,40%.,State of sky on the whole unchanged.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","13,0",No precipitation,3,,,,
30.11.2018 12:00,"10,3","768,6","768,9","0,6",99,Wind blowing from the north,1,,,70 – 80%.,"Fog or ice fog, sky invisible (has become thinner during the preceding hour).",Fog or ice fog or thick haze.,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",70 – 80%.,100-200,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","0,8","10,1","0,1",6,,,,
30.11.2018 09:00,"8,1","768,0","768,3",,98,Wind blowing from the east-northeast,2,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",Fog or ice fog or thick haze.,,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,3","7,8","0,1",3,,,,
29.11.2018 12:00,"13,5","764,0","764,3","-0,8",94,Wind blowing from the south,5,,,100%.,Drizzle (not freezing) or snow grains not falling as shower(s).,Drizzle.,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,100-200,,,"10,0","12,6","0,1",6,,,,
29.11.2018 09:00,"10,1","764,8","765,1",,96,Wind blowing from the south-east,2,,,100%.,Mist.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",100%.,100-200,,,"7,0","9,5",No precipitation,3,,,,
28.11.2018 15:00,"12,6","766,4","766,7","-2,0",86,Wind blowing from the north-northwest,1,,,50%.,Mist.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","8,0","10,3",No precipitation,3,,,,
28.11.2018 12:00,"8,2","768,4","768,7","-0,2",97,Wind blowing from the east-northeast,3,,,"90 or more, but not 100%",Fog or ice fog.,Fog or ice fog or thick haze.,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90 or more, but not 100%",100-200,,,"1,0","7,8",No precipitation,3,,,,
28.11.2018 09:00,"7,0","768,6","768,9",,98,Wind blowing from the north-east,2,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",,,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,6","6,7",No precipitation,3,,,,
27.11.2018 15:00,"13,9","767,7","768,0","-1,3",74,Wind blowing from the east,2,,,40%.,,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","9,3",No precipitation,3,,,,
27.11.2018 12:00,"9,2","769,0","769,3","0,3",97,Wind blowing from the east-northeast,2,,,"90 or more, but not 100%",Fog or ice fog.,Fog or ice fog or thick haze.,,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90 or more, but not 100%",100-200,,,"0,8","8,7",No precipitation,3,,,,
27.11.2018 09:00,"7,3","768,7","769,0",,97,Wind blowing from the north-east,3,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",,,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,3","6,8",No precipitation,3,,,,
26.11.2018 15:00,"15,9","766,9","767,2","-0,4",55,Wind blowing from the north,4,,,"90 or more, but not 100%",,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,20–30%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","20,0","6,8",No precipitation,3,,,,
26.11.2018 12:00,"16,5","767,3","767,6","1,2",51,Wind blowing from the north,6,,9,60%.,State of sky on the whole unchanged.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","20,0","6,4",No precipitation,3,,,,
26.11.2018 09:00,"14,3","766,1","766,4",,64,Wind blowing from the north-northwest,3,,,"10% or less, but not 0",Cloud development not observed or not observable.,,,,,Stratocumulus other than Stratocumulus cumulogenitus.,"10% or less, but not 0",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","7,5",No precipitation,3,,,,
23.11.2018 15:00,"16,8","761,6","761,9","-0,9",59,Wind blowing from the west,4,,,60%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","15,0","8,6",No precipitation,3,,,,
23.11.2018 12:00,"14,2","762,5","762,8","-0,1",84,Wind blowing from the south,3,,,40%.,Clouds generally forming or developing.,Fog or ice fog or thick haze.,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","10,0","11,5",No precipitation,3,,,,
23.11.2018 09:00,"7,9","762,6","762,9",,97,Wind blowing from the north,1,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",,,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,3","7,4",No precipitation,3,,,,
22.11.2018 15:00,"15,5","759,3","759,6","-1,0",79,Wind blowing from the south,3,,,"90 or more, but not 100%",State of sky on the whole unchanged.,Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","15,0","11,8",No precipitation,3,,,,
22.11.2018 12:00,"13,4","760,3","760,6","0,0",90,Wind blowing from the south,1,,,"90 or more, but not 100%","Thunderstorm, but no precipitation at the time of observation.",Thunderstorm(s) with or without precipitation.,Shower(s).,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",20–30%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.","15,0","11,8","0,2",6,,,,
22.11.2018 09:00,"10,0","760,3","760,6",,95,Wind blowing from the north-northeast,2,,,"90 or more, but not 100%",Cloud development not observed or not observable.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,200-300,Altocumulus castellanus or floccus.,,"15,0","9,3","0,1",3,,,,
21.11.2018 15:00,"16,6","758,4","758,7","-0,2",56,Wind blowing from the west-southwest,5,,13,40%.,State of sky on the whole unchanged.,Shower(s).,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","15,0","7,6",Trace of precipitation,3,,,,
21.11.2018 12:00,"16,8","758,6","758,9","0,5",61,Wind blowing from the south-west,4,,,50%.,"Precipitation within sight, reaching the ground or the surface of the sea, but distant, i.e. estimated to be more than 5 km from the station.",Shower(s).,,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","15,0","9,1","0,1",6,,,,
21.11.2018 09:00,"11,5","758,1","758,4",,93,Wind blowing from the south-west,2,,,20–30%.,Cloud development not observed or not observable.,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","15,0","10,4",No precipitation,3,,,,
20.11.2018 15:00,"16,9","753,9","754,2","-0,1",62,Wind blowing from the west,8,,14,70 – 80%.,,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus uncinus or fibratus, or both, progressively invading the sky; they generally thicken as a whole.","15,0","9,5",No precipitation,3,,,,
