Local time in Evora,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
30.12.2018 00:00,"7,8","747,9","770,5","-0,4",82,Wind blowing from the east-northeast,4,6,7,,,,,,,,,,,,,"4,9",No precipitation,1,,,,
29.12.2018 21:00,"7,4","748,3","770,9","0,3",87,Wind blowing from the north,2,,5,,,,,,,,,,,,,"5,4",No precipitation,12,,,,
29.12.2018 18:00,"9,3","748,0","770,4","0,8",75,Wind blowing from the east-northeast,3,6,6,,,,,,"14,0",,,,,,,"5,1",No precipitation,1,,,,
29.12.2018 15:00,"13,7","747,2","769,3","-1,1",61,Wind blowing from the east-northeast,5,9,12,,,,,,,,,,,,,"6,2",No precipitation,1,,,,
29.12.2018 12:00,"12,7","748,3","770,4","-0,6",71,Wind blowing from the east-northeast,4,8,9,,,,,,,,,,,,,"7,5",No precipitation,1,,,,
29.12.2018 09:00,"6,5","748,9","771,6","0,9",97,Wind blowing from the north,2,,5,,,,,,,,,,,,,"6,0",No precipitation,1,,,,
29.12.2018 06:00,"4,8","748,0","770,8","-0,4",100,Wind blowing from the north-east,3,,,,,,,"3,5",,,,,,,,"4,8","0,1",12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"-1,0",,
29.12.2018 03:00,"4,4","748,4","771,3","-0,2",100,Wind blowing from the north-northeast,2,,,,,,,,,,,,,,,"4,4",No precipitation,1,,,,
29.12.2018 00:00,"4,4","748,6","771,4","-0,3",100,Wind blowing from the north-east,1,,,,,,,,,,,,,,,"4,4",No precipitation,1,,,,
28.12.2018 21:00,"6,0","748,9","771,6","0,2",100,Wind blowing from the north-east,1,,,,,,,,,,,,,,,"6,0",No precipitation,12,,,,
28.12.2018 18:00,"8,1","748,7","771,2","0,8",100,Wind blowing from the east,2,,,,,,,,"16,3",,,,,,,"8,1",No precipitation,1,,,,
28.12.2018 15:00,"15,6","747,9","769,9","-0,7",67,Wind blowing from the north,3,6,6,,,,,,,,,,,,,"9,5",No precipitation,1,,,,
28.12.2018 12:00,"13,9","748,6","770,8","-0,8",81,Wind blowing from the north,2,,,,,,,,,,,,,,,"10,7",No precipitation,1,,,,
28.12.2018 09:00,"10,3","749,4","771,8","1,3",100,Wind blowing from the north,1,,,,,,,,,,,,,,,"10,3",No precipitation,1,,,,
28.12.2018 06:00,"10,5","748,1","770,5","-0,7",100,Wind blowing from the north-northwest,3,,,,,,,"10,2",,,,,,,,"10,5",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"9,0",,
28.12.2018 03:00,"11,1","748,8","771,1","0,0",100,Wind blowing from the north-northwest,4,5,7,,,,,,,,,,,,,"11,1",No precipitation,1,,,,
28.12.2018 00:00,"11,1","748,8","771,1","-0,4",100,Wind blowing from the north-west,2,,,,,,,,,,,,,,,"11,1",No precipitation,1,,,,
27.12.2018 21:00,"10,6","749,2","771,5","0,2",100,Wind blowing from the west-northwest,1,,,,,,,,,,,,,,,"10,6",No precipitation,12,,,,
27.12.2018 18:00,"11,3","749,0","771,3","0,4",100,Wind blowing from the west,1,,,,,,,,"13,3",,,,,,,"11,3","0,1",12,,,,
27.12.2018 15:00,"13,0","748,6","770,8","-0,6",94,"Calm, no wind",0,,,,,,,,,,,,,,,"12,1",No precipitation,1,,,,
27.12.2018 12:00,"10,5","749,2","771,6","-0,4",97,Wind blowing from the south-southeast,1,,,,,,,,,,,,,,,"10,1","0,1",6,,,,
27.12.2018 09:00,"4,9","749,6","772,5","1,0",100,"Calm, no wind",0,,,,,,,,,,,,,,,"4,9",No precipitation,1,,,,
27.12.2018 06:00,"3,9","748,6","771,6","-0,4",100,Wind blowing from the east-northeast,1,,,,,,,"3,3",,,,,,,,"3,9",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"0,0",,
27.12.2018 03:00,"5,0","749,0","771,8","0,1",100,Wind blowing from the north-northeast,1,,,,,,,,,,,,,,,"5,0",No precipitation,1,,,,
27.12.2018 00:00,"5,9","748,9","771,6","0,0",100,Wind blowing from the north-northeast,1,,,,,,,,,,,,,,,"5,9",No precipitation,1,,,,
26.12.2018 21:00,"7,8","748,9","771,5","0,0",100,"Calm, no wind",0,,,,,,,,,,,,,,,"7,8",No precipitation,12,,,,
26.12.2018 18:00,"10,2","748,9","771,3","0,1",92,Wind blowing from the east,1,,,,,,,,"15,3",,,,,,,"8,9","0,1",12,,,,
26.12.2018 15:00,"15,1","748,8","770,8","-0,7",74,Wind blowing from the east,2,,,,,,,,,,,,,,,"10,5",No precipitation,1,,,,
26.12.2018 12:00,"11,2","749,5","771,8","-0,2",100,Wind blowing from the east-southeast,3,,,,,,,,,,,,,,,"11,2","0,1",6,,,,
26.12.2018 09:00,"7,1","749,7","772,4","0,7",100,Wind blowing from the east,3,,,,,,,,,,,,,,,"7,1",No precipitation,1,,,,
26.12.2018 06:00,"4,9","749,0","771,8","0,2",100,Wind blowing from the east,2,,,,,,,"3,9",,,,,,,,"4,9",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"-1,0",,
26.12.2018 03:00,"4,9","748,8","771,6","0,0",100,Wind blowing from the east,2,,,,,,,,,,,,,,,"4,9",No precipitation,1,,,,
26.12.2018 00:00,"6,5","748,8","771,5","0,0",100,Wind blowing from the east,2,,,,,,,,,,,,,,,"6,5",No precipitation,1,,,,
25.12.2018 21:00,"8,7","748,8","771,3","0,9",100,Wind blowing from the east,1,,,,,,,,,,,,,,,"8,7",No precipitation,12,,,,
25.12.2018 18:00,"10,1","747,9","770,2","0,5",95,Wind blowing from the east-southeast,2,,,,,,,,"15,6",,,,,,,"9,4",No precipitation,1,,,,
25.12.2018 15:00,"15,1","747,4","769,3","-0,3",70,Wind blowing from the east,1,,,,,,,,,,,,,,,"9,7",No precipitation,1,,,,
25.12.2018 12:00,"11,4","747,7","769,9","-0,6",88,Wind blowing from the east,2,,,,,,,,,,,,,,,"9,5",No precipitation,1,,,,
25.12.2018 09:00,"5,5","748,3","771,0","1,5",100,Wind blowing from the north-east,1,,,,,,,,,,,,,,,"5,5",No precipitation,1,,,,
25.12.2018 06:00,"5,6","746,8","769,5","-0,6",100,Wind blowing from the east-northeast,1,,,,,,,"4,9",,,,,,,,"5,6",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"2,0",,
25.12.2018 03:00,"5,7","747,4","770,1","-0,5",100,"Calm, no wind",0,,,,,,,,,,,,,,,"5,7",No precipitation,1,,,,
25.12.2018 00:00,"7,1","747,9","770,5","-0,1",99,Wind blowing from the north-east,1,,,,,,,,,,,,,,,"7,0",No precipitation,1,,,,
24.12.2018 21:00,"7,6","748,0","770,5","0,2",99,Wind blowing from the north-east,1,,,,,,,,,,,,,,,"7,4",No precipitation,12,,,,
24.12.2018 18:00,"9,7","747,8","770,2","0,0",87,Wind blowing from the north-east,1,,,,,,,,"13,7",,,,,,,"7,7","0,1",12,,,,
24.12.2018 15:00,"13,6","747,8","769,9",,73,Wind blowing from the east,2,,,,,,,,,,,,,,,"8,9",No precipitation,1,,,,
24.12.2018 12:00,"11,8","749,2","771,4","-0,3",90,Wind blowing from the east,2,,,,,,,,,,,,,,,"10,2","0,1",6,,,,
24.12.2018 09:00,"5,8","749,5","772,3","0,4",100,Wind blowing from the east,2,,,,,,,,,,,,,,,"5,8",No precipitation,1,,,,
24.12.2018 06:00,"5,5","749,1","771,8","-0,5",100,Wind blowing from the north-northeast,1,,,,,,,"4,1",,,,,,,,"5,5",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"-1,0",,
24.12.2018 03:00,"5,4","749,6","772,4","-0,9",100,Wind blowing from the east,1,,,,,,,,,,,,,,,"5,4",No precipitation,1,,,,
24.12.2018 00:00,"7,4","750,5","773,2","0,4",100,Wind blowing from the north-northeast,1,,,,,,,,,,,,,,,"7,4",No precipitation,1,,,,
23.12.2018 21:00,"7,2","750,1","772,8","0,5",100,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"7,2",No precipitation,12,,,,
23.12.2018 18:00,"8,9","749,6","772,1","0,2",92,Wind blowing from the east,2,,,,,,,,"15,2",,,,,,,"7,7","0,1",12,,,,
23.12.2018 15:00,"15,0","749,4","771,4","-0,9",68,Wind blowing from the east-southeast,3,,5,,,,,,,,,,,,,"9,2",No precipitation,1,,,,
23.12.2018 12:00,"10,6","750,3","772,7","0,0",95,Wind blowing from the east,2,,,,,,,,,,,,,,,"9,9","0,1",6,,,,
23.12.2018 09:00,"6,5","750,3","773,0","0,7",100,Wind blowing from the east,3,,6,,,,,,,,,,,,,"6,5",No precipitation,1,,,,
23.12.2018 06:00,"4,5","749,6","772,5","-0,2",100,Wind blowing from the east,2,,,,,,,"4,4",,,,,,,,"4,5",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"0,0",,
23.12.2018 03:00,"5,3","749,8","772,6","-0,1",100,Wind blowing from the east,1,,,,,,,,,,,,,,,"5,3",No precipitation,1,,,,
23.12.2018 00:00,"8,0","749,9","772,6","-0,5",98,Wind blowing from the east,3,,,,,,,,,,,,,,,"7,7",No precipitation,1,,,,
22.12.2018 21:00,"8,3","750,4","772,9","0,1",99,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"8,1",No precipitation,12,,,,
22.12.2018 18:00,"9,8","750,3","772,8","0,1",87,Wind blowing from the east,3,,,,,,,,"16,4",,,,,,,"7,7",No precipitation,1,,,,
22.12.2018 15:00,"15,9","750,2","772,2","-1,1",66,Wind blowing from the north-east,3,,5,,,,,,,,,,,,,"9,6",No precipitation,1,,,,
22.12.2018 12:00,"14,5","751,3","773,4","-0,3",75,Wind blowing from the east-northeast,4,,6,,,,,,,,,,,,,"10,1",No precipitation,1,,,,
22.12.2018 09:00,"8,5","751,6","774,1","0,6",100,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"8,5",No precipitation,1,,,,
22.12.2018 06:00,"6,8","751,0","773,7","-0,5",100,Wind blowing from the east,3,,,,,,,"6,0",,,,,,,,"6,8",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"1,0",,
22.12.2018 03:00,"6,4","751,5","774,3","-0,5",100,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"6,4",No precipitation,1,,,,
22.12.2018 00:00,"7,5","752,0","774,7","-0,3",98,Wind blowing from the north-east,1,,,,,,,,,,,,,,,"7,2",,,,,,
21.12.2018 21:00,"8,4","752,3","775,0",,99,"Calm, no wind",0,,,,,,,,,,,,,,,"8,3",No precipitation,12,,,,
21.12.2018 18:00,"11,4","752,0","774,4","0,4",89,Wind blowing from the east,2,,,,,,,,"16,0",,,,,,,"9,7","0,1",12,,,,
21.12.2018 15:00,"15,7","751,6","773,6","-1,0",68,Wind blowing from the north,1,,,,,,,,,,,,,,,"9,7",No precipitation,1,,,,
21.12.2018 12:00,"13,1","752,6","774,9","0,1",87,Wind blowing from the east-southeast,2,,,40%.,Clouds generally dissolving or becoming less developed.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10% or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","25,0","11,0",No precipitation,1,,,,
21.12.2018 09:00,"7,6","752,5","775,3","1,2",100,Wind blowing from the east-northeast,1,,,60%.,"Fog or ice fog, sky visible (has become thinner during the preceding hour).",Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,1000-1500,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","0,6","7,6",No precipitation,1,,,,
21.12.2018 06:00,"5,3","751,3","774,1","0,2",100,Wind blowing from the north-northeast,1,,,,,,,"5,0",,,,,,,,"5,3",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"3,0",,
21.12.2018 03:00,"6,2","751,1","773,8","-0,1",100,Wind blowing from the north-northeast,1,,,,,,,,,,,,,,,"6,2",No precipitation,1,,,,
21.12.2018 00:00,"8,5","751,2","773,8","0,6",100,Wind blowing from the west,1,,,,,,,,,,,,,,,"8,5",No precipitation,1,,,,
20.12.2018 21:00,"11,6","750,6","772,9","0,6",97,Wind blowing from the east-southeast,1,,,,,,,,,,,,,,,"11,1",No precipitation,12,,,,
20.12.2018 18:00,"12,9","750,0","772,2","0,9",85,Wind blowing from the north-northeast,1,,,,,,,,"16,5",,,,,,,"10,5","0,1",12,,,,
20.12.2018 15:00,"14,6","749,1","771,1","-1,0",77,Wind blowing from the west-northwest,1,,5,,,,,,,,,,,,,"10,5",No precipitation,1,,,,
20.12.2018 12:00,"12,4","750,1","772,3","0,6",100,Wind blowing from the west-southwest,2,,,"90 or more, but not 100%",Mist.,Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.","90 or more, but not 100%",200-300,,,"4,0","12,4",No precipitation,1,,,,
20.12.2018 09:00,"7,0","749,5","772,3","1,1",100,Wind blowing from the east,1,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,3","7,0",No precipitation,1,,,,
20.12.2018 06:00,"7,0","748,4","771,1","0,2",100,Wind blowing from the south-southwest,1,,,,,,,"6,6",,,,,,,,"7,0","0,1",12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"3,0",,
20.12.2018 03:00,"8,9","748,2","770,7","-0,1",100,Wind blowing from the north,1,,,,,,,,,,,,,,,"8,9",No precipitation,1,,,,
20.12.2018 00:00,"9,1","748,3","770,8","0,3",100,Wind blowing from the west-southwest,1,,,,,,,,,,,,,,,"9,1","0,1",6,,,,
19.12.2018 21:00,"8,6","748,0","770,5","0,4",100,Wind blowing from the south-west,1,,,,,,,,,,,,,,,"8,6",No precipitation,12,,,,
19.12.2018 18:00,"9,4","747,6","770,0","0,3",100,Wind blowing from the west,2,,,,,,,,"14,6",,,,,,,"9,4","0,1",12,,,,
19.12.2018 15:00,"12,9","747,3","769,5","-1,0",85,Wind blowing from the west-southwest,3,,6,,,,,,,,,,,,,"10,5",No precipitation,1,,,,
19.12.2018 12:00,"11,8","748,3","770,6","0,1",100,Wind blowing from the west-southwest,2,,,"90 or more, but not 100%",Clouds generally dissolving or becoming less developed.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.","12,0","11,8",,,,,,
19.12.2018 09:00,"5,6","748,2","770,9","1,7",100,"Calm, no wind",0,,,Sky obscured by fog and/or other meteorological phenomena.,"Fog or ice fog, sky invisible, no appreciable change during the preceding hour.",Fog or ice fog or thick haze.,Fog or ice fog or thick haze.,,,,Sky obscured by fog and/or other meteorological phenomena.,,,,"0,1","5,6",No precipitation,1,,,,
19.12.2018 06:00,"3,6","746,5","769,4","0,2",100,Wind blowing from the south-east,1,,,,,,,"2,8",,,,,,,,"3,6",7,12,Surface of ground moist.,"0,0",,
19.12.2018 03:00,"4,4","746,3","769,1","0,4",100,Wind blowing from the west-southwest,1,,,,,,,,,,,,,,,"4,4","0,1",1,,,,
19.12.2018 00:00,"8,3","745,9","768,4","0,4",100,Wind blowing from the west,1,,,,,,,,,,,,,,,"8,3",6,6,,,,
18.12.2018 21:00,"10,0","745,5","767,8","2,0",100,Wind blowing from the west,2,,,,,,,,,,,,,,,"10,0",10,12,,,,
18.12.2018 18:00,"12,9","743,5","765,5","0,0",100,Wind blowing from the south,5,,8,,,,,,"15,6",,,,,,,"12,9",4,12,,,,
18.12.2018 15:00,"14,1","743,5","765,4","-1,5",87,Wind blowing from the south,6,,10,,,,,,,,,,,,,"12,0",No precipitation,1,,,,
18.12.2018 12:00,"13,0","745,0","767,0","-0,5",93,Wind blowing from the south,6,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",60%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,"8,0","11,9",No precipitation,1,,,,
18.12.2018 09:00,"6,3","745,5","768,1","0,4",100,Wind blowing from the east-southeast,3,,,"90 or more, but not 100%",Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,"90 or more, but not 100%",100-200,,,"5,0","6,3",No precipitation,1,,,,
18.12.2018 06:00,"4,4","745,1","767,9","-1,0",100,Wind blowing from the north,1,,,,,,,"3,9",,,,,,,,"4,4",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"0,0",,
18.12.2018 03:00,"4,2","746,1","768,9","-1,3",100,Wind blowing from the east-southeast,2,,,,,,,,,,,,,,,"4,2",No precipitation,1,,,,
18.12.2018 00:00,"5,1","747,4","770,2","-0,9",100,Wind blowing from the east,1,,,,,,,,,,,,,,,"5,1",No precipitation,1,,,,
17.12.2018 21:00,"5,4","748,3","771,1","0,7",100,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"5,4",No precipitation,12,,,,
17.12.2018 18:00,"7,6","747,6","770,2","-0,9",86,Wind blowing from the east,2,,,,,,,,"14,2",,,,,,,"5,3","0,1",12,,,,
17.12.2018 15:00,"13,7","748,5","770,6","-0,8",57,"Calm, no wind",0,,,,,,,,,,,,,,,"5,3",No precipitation,1,,,,
17.12.2018 12:00,"8,9","749,3","771,8","-1,1",100,Wind blowing from the east,3,,,70 – 80%.,Mist.,Fog or ice fog or thick haze.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,60%.,200-300,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","2,5","8,9",No precipitation,1,,,,
17.12.2018 09:00,"4,0","750,4","773,2","0,8",100,Wind blowing from the east,1,,,"10% or less, but not 0","Fog or ice fog, sky visible, has begun or has become thicker during the preceding hour.",Fog or ice fog or thick haze.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.","0,5","4,0",No precipitation,1,,,,
17.12.2018 06:00,"3,0","749,6","772,6","-0,2",100,Wind blowing from the east-northeast,1,,,,,,,"2,6",,,,,,,,"3,0",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"-1,0",,
17.12.2018 03:00,"4,3","749,8","772,6","-0,3",100,Wind blowing from the east,1,,,,,,,,,,,,,,,"4,3",No precipitation,1,,,,
17.12.2018 00:00,"6,2","750,1","772,8","0,8",100,"Calm, no wind",0,,,,,,,,,,,,,,,"6,2",No precipitation,1,,,,
16.12.2018 21:00,"8,5","749,3","771,9","1,1",99,Wind blowing from the north-west,1,,,,,,,,,,,,,,,"8,4",No precipitation,12,,,,
16.12.2018 18:00,"11,5","748,2","770,5","1,4",80,Wind blowing from the west-northwest,3,,,,,,,,"17,0",,,,,,,"8,2",3,12,,,,
16.12.2018 15:00,"15,9","746,8","768,7","-0,3",58,Wind blowing from the west-northwest,6,,10,,,,,,,,,,,,,"7,7",No precipitation,1,,,,
16.12.2018 12:00,"15,6","747,1","769,0","1,4",69,Wind blowing from the west-northwest,7,10,,,,,,,,,,,,,,"9,8",3,6,,,,
16.12.2018 09:00,"13,4","745,7","767,8","1,1",100,Wind blowing from the west,3,6,7,,,,,,,,,,,,,"13,4","0,3",1,,,,
16.12.2018 06:00,"12,9","744,6","766,6","-1,3",100,Wind blowing from the south-southwest,7,,,,,,,"11,3",,,,,,,,"12,9","0,1",12,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"11,0",,
16.12.2018 03:00,"11,6","745,9","768,1","-0,9",99,Wind blowing from the south-west,2,,,,,,,,,,,,,,,"11,4",No precipitation,1,,,,
16.12.2018 00:00,"12,1","746,8","769,0","-0,9",94,Wind blowing from the south,3,,5,,,,,,,,,,,,,"11,1",No precipitation,1,,,,
15.12.2018 21:00,"12,3","747,7","769,9","-0,3",90,Wind blowing from the south,4,,,,,,,,,,,,,,,"10,7",No precipitation,12,,,,
15.12.2018 18:00,"12,9","748,0","770,2","-0,3",91,Wind blowing from the south,4,,,,,,,,"14,1",,,,,,,"11,4",No precipitation,1,,,,
15.12.2018 15:00,"14,1","748,3","770,5","-1,2",82,Wind blowing from the south-southwest,4,,7,,,,,,,,,,,,,"11,1",No precipitation,1,,,,
15.12.2018 12:00,"12,1","749,5","771,8","0,0",93,"Calm, no wind",0,,,,,,,,,,,,,,,"11,0",No precipitation,1,,,,
15.12.2018 09:00,"7,8","749,5","772,1","0,7",100,Wind blowing from the north,1,,,,,,,,,,,,,,,"7,8",No precipitation,1,,,,
15.12.2018 06:00,"7,0","748,8","771,4","0,0",100,Wind blowing from the east-southeast,1,,,,,,,"4,8",,,,,,,,"7,0",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"1,0",,
15.12.2018 03:00,"6,6","748,8","771,4","-0,2",100,Wind blowing from the west-northwest,1,,,,,,,,,,,,,,,"6,6",No precipitation,1,,,,
15.12.2018 00:00,"6,2","749,0","771,7","0,1",100,Wind blowing from the south-southwest,2,,,,,,,,,,,,,,,"6,2",No precipitation,1,,,,
14.12.2018 21:00,"6,3","748,9","771,6","0,6",100,Wind blowing from the north,1,,,,,,,,,,,,,,,"6,3",No precipitation,12,,,,
14.12.2018 18:00,"9,9","748,3","770,8","0,4",88,Wind blowing from the west,1,,,,,,,,"15,2",,,,,,,"7,9",No precipitation,1,,,,
14.12.2018 15:00,"14,0","747,9","769,9","-0,6",66,Wind blowing from the north-west,4,,8,,,,,,,,,,,,,"7,8",No precipitation,1,,,,
14.12.2018 12:00,"13,2","748,5","770,7","0,4",74,Wind blowing from the north-west,5,,,60%.,,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,600-1000,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.","15,0","8,7",No precipitation,1,,,,
14.12.2018 09:00,"9,2","748,1","770,6","1,8",93,Wind blowing from the west-northwest,2,,5,60%.,,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",60%.,"2500 or more, or no clouds.","Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.","12,0","8,1",No precipitation,1,,,,
14.12.2018 06:00,"4,8","746,3","769,0","0,4",100,Wind blowing from the west,2,,,,,,,"3,9",,,,,,,,"4,8",,,Surface of ground dry (without cracks and no appreciable amount of dust or loose sand).,"1,0",,
