Local time in Penhas Douradas,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.12.2018 23:00,"8,4","656,3",,"0,0",24,Wind blowing from the south-southeast,2,,,,,,,,,,,,,,,"-10,9",No precipitation,1,,,,
31.12.2018 22:00,"6,6","656,3",,"0,1",28,Wind blowing from the south-southeast,2,,,,,,,,,,,,,,,"-10,7",No precipitation,1,,,,
31.12.2018 21:00,"6,7","656,4",,"0,3",28,Wind blowing from the south-east,2,,,,,,,,,,,,,,,"-10,8",,,,,,
31.12.2018 20:00,"6,1","656,3",,"0,3",31,Wind blowing from the south-east,2,,,,,,,,,,,,,,,"-10,1",No precipitation,1,,,,
31.12.2018 19:00,"6,3","656,2",,"0,1",30,Wind blowing from the south-southeast,4,,,,,,,,,,,,,,,"-10,3",No precipitation,1,,,,
31.12.2018 18:00,"6,9","656,1",,"0,2",31,Wind blowing from the south-southeast,4,,,,,,,,"12,7",,,,,,,"-9,3",No precipitation,12,,,,
31.12.2018 17:00,"6,3","656,0",,"0,4",33,Wind blowing from the south-southeast,3,,,,,,,,,,,,,,,"-8,8",No precipitation,1,,,,
31.12.2018 16:00,"9,7","656,1",,"0,4",24,Wind blowing from the south-east,1,,,,,,,,,,,,,,,"-9,9",No precipitation,1,,,,
31.12.2018 15:00,"11,6","655,9",,"-0,2",26,Wind blowing from the south-east,2,,,,,,,,,,,,,,,"-7,6",,,,,,
31.12.2018 14:00,"11,5","655,6",,"-0,7",26,Wind blowing from the south-east,5,,,,,,,,,,,,,,,"-7,7",No precipitation,1,,,,
31.12.2018 13:00,"12,1","655,7",,"-0,5",24,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"-7,9",No precipitation,1,,,,
31.12.2018 12:00,"11,8","656,1",,"0,2",19,Wind blowing from the east-southeast,6,,,,,,,,,,,,,,,"-11,1",No precipitation,6,,,,
31.12.2018 11:00,"11,5","656,3",,"0,7",20,Wind blowing from the south-east,6,,,,,,,,,,,,,,,"-10,8",No precipitation,1,,,,
31.12.2018 10:00,"11,3","656,2",,"0,9",20,Wind blowing from the south-east,6,,,,,,,,,,,,,,,"-10,7",No precipitation,1,,,,
31.12.2018 09:00,"10,7","655,9",,"0,9",20,Wind blowing from the south-east,6,,,,,,,,,,,,,,,"-11,7",,,,,,
31.12.2018 08:00,"8,9","655,6",,"0,6",18,Wind blowing from the south-east,7,,,,,,,,,,,,,,,"-14,1",No precipitation,1,,,,
31.12.2018 07:00,"8,9","655,3",,"0,1",20,Wind blowing from the south-east,8,,,,,,,,,,,,,,,"-12,8",No precipitation,1,,,,
31.12.2018 06:00,"8,8","655,0",,"-0,5",22,Wind blowing from the south-east,8,,,,,,,"5,0",,,,,,,,"-11,9",No precipitation,12,,,,
31.12.2018 05:00,"8,4","655,0",,"-0,3",26,Wind blowing from the south-east,8,,,,,,,,,,,,,,,"-10,1",No precipitation,1,,,,
31.12.2018 04:00,"7,9","655,2",,"-0,1",25,Wind blowing from the south-east,6,,,,,,,,,,,,,,,"-10,9",No precipitation,1,,,,
31.12.2018 03:00,"7,2","655,5",,"0,2",27,Wind blowing from the south-east,5,,,,,,,,,,,,,,,"-10,8",,,,,,
31.12.2018 02:00,"6,7","655,3",,"0,2",28,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"-10,5",No precipitation,1,,,,
31.12.2018 01:00,"7,4","655,3",,"0,3",27,Wind blowing from the south-east,5,,,,,,,,,,,,,,,"-10,3",No precipitation,1,,,,
31.12.2018 00:00,"7,3","655,3",,"0,2",32,Wind blowing from the south-east,5,,,,,,,,,,,,,,,"-8,5",No precipitation,6,,,,
30.12.2018 23:00,"7,0","655,1",,"0,0",35,Wind blowing from the south-east,6,,,,,,,,,,,,,,,"-7,7",No precipitation,1,,,,
30.12.2018 22:00,"7,6","655,0",,"0,2",37,Wind blowing from the south-east,5,,,,,,,,,,,,,,,"-6,2",No precipitation,1,,,,
30.12.2018 21:00,"6,1","655,1",,"0,5",51,Wind blowing from the south-east,3,,,,,,,,,,,,,,,"-3,4",,,,,,
30.12.2018 20:00,"5,4","655,1",,"0,7",57,Wind blowing from the east-southeast,5,,,,,,,,,,,,,,,"-2,5",No precipitation,1,,,,
30.12.2018 19:00,"5,7","654,8",,"0,6",55,Wind blowing from the south-east,5,,,,,,,,,,,,,,,"-2,8",No precipitation,1,,,,
30.12.2018 18:00,"6,0","654,6",,"0,4",50,Wind blowing from the south-east,4,,,,,,,,"11,4",,,,,,,"-3,7",No precipitation,12,,,,
30.12.2018 17:00,"5,6","654,4",,"0,5",62,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"-1,3",No precipitation,1,,,,
30.12.2018 16:00,"8,1","654,2",,"0,1",38,Wind blowing from the south-east,3,,,,,,,,,,,,,,,"-5,4",No precipitation,1,,,,
30.12.2018 15:00,"9,6","654,2",,"-0,5",36,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"-4,9",,,,,,
30.12.2018 14:00,"9,9","653,9",,"-1,2",34,Wind blowing from the east-southeast,4,,,,,,,,,,,,,,,"-5,5",No precipitation,1,,,,
30.12.2018 13:00,"10,8","654,1",,"-0,9",29,Wind blowing from the south-east,5,,,,,,,,,,,,,,,"-6,5",No precipitation,1,,,,
30.12.2018 12:00,"10,3","654,7",,"-0,3",29,Wind blowing from the south-east,5,,,,,,,,,,,,,,,"-7,2",No precipitation,6,,,,
30.12.2018 11:00,"10,0","655,1",,"0,4",32,Wind blowing from the south-east,6,,,,,,,,,,,,,,,"-6,2",No precipitation,1,,,,
30.12.2018 10:00,"8,8","655,0",,"0,6",36,Wind blowing from the south-east,5,,,,,,,,,,,,,,,"-5,5",No precipitation,1,,,,
30.12.2018 09:00,"7,7","655,0",,"0,8",43,Wind blowing from the east-southeast,4,,,,,,,,,,,,,,,"-4,2",,,,,,
30.12.2018 08:00,"4,2","654,7",,"0,5",52,Wind blowing from the south-east,3,,,,,,,,,,,,,,,"-5,0",No precipitation,1,,,,
30.12.2018 07:00,"5,3","654,4",,"0,2",49,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"-4,7",No precipitation,1,,,,
30.12.2018 06:00,"4,2","654,2",,"-0,2",60,Wind blowing from the east-southeast,3,,,,,,,"1,7",,,,,,,,"-3,0",No precipitation,12,,,,
30.12.2018 05:00,"2,2","654,2",,"-0,1",70,Wind blowing from the south-east,3,,,,,,,,,,,,,,,"-2,8",No precipitation,1,,,,
30.12.2018 04:00,"2,9","654,2",,"0,1",66,Wind blowing from the south-east,3,,,,,,,,,,,,,,,"-2,9",No precipitation,1,,,,
30.12.2018 03:00,"4,4","654,4",,"0,1",62,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"-2,4",,,,,,
30.12.2018 02:00,"4,3","654,3",,"-0,1",63,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"-2,1",No precipitation,1,,,,
30.12.2018 01:00,"3,7","654,1",,"-0,3",68,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"-1,7",No precipitation,1,,,,
30.12.2018 00:00,"3,2","654,3",,"-0,3",79,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"-0,1",No precipitation,6,,,,
29.12.2018 23:00,"3,1","654,4",,"-0,3",76,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"-0,8",No precipitation,1,,,,
29.12.2018 22:00,"3,6","654,4",,"0,1",68,Wind blowing from the south-east,5,,,,,,,,,,,,,,,"-1,8",No precipitation,1,,,,
29.12.2018 21:00,"3,4","654,6",,"0,5",72,Wind blowing from the east-southeast,4,,,,,,,,,,,,,,,"-1,2",,,,,,
29.12.2018 20:00,"3,3","654,7",,"0,8",72,Wind blowing from the east-southeast,4,,,,,,,,,,,,,,,"-1,4",No precipitation,1,,,,
29.12.2018 19:00,"3,5","654,3",,"0,6",69,Wind blowing from the east-southeast,4,,,,,,,,,,,,,,,"-1,7",No precipitation,1,,,,
29.12.2018 18:00,"3,4","654,1",,"0,4",76,Wind blowing from the south-east,3,,,,,,,,"8,1",,,,,,,"-0,5",No precipitation,12,,,,
29.12.2018 17:00,"4,0","653,9",,"0,5",79,Wind blowing from the east-southeast,3,,,,,,,,,,,,,,,"0,6",No precipitation,1,,,,
29.12.2018 16:00,"5,5","653,7",,"0,0",72,Wind blowing from the south-east,3,,,,,,,,,,,,,,,"0,7",No precipitation,1,,,,
29.12.2018 15:00,"7,2","653,7",,"-0,5",65,Wind blowing from the south-east,3,,,,,,,,,,,,,,,"1,0",,,,,,
29.12.2018 14:00,"7,6","653,4",,"-1,3",67,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"1,7",No precipitation,1,,,,
29.12.2018 13:00,"6,8","653,7",,"-1,2",69,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"1,5",No precipitation,1,,,,
29.12.2018 12:00,"6,1","654,2",,"-0,5",76,Wind blowing from the south-east,5,,,,,,,,,,,,,,,"2,1",No precipitation,6,,,,
29.12.2018 11:00,"4,6","654,7",,"0,2",81,Wind blowing from the north-east,4,,,,,,,,,,,,,,,"1,6",No precipitation,1,,,,
29.12.2018 10:00,"5,1","654,9",,"0,6",76,Wind blowing from the east,6,,,,,,,,,,,,,,,"1,1",No precipitation,1,,,,
29.12.2018 09:00,"4,4","654,7",,"0,8",82,Wind blowing from the east-southeast,5,,,,,,,,,,,,,,,"1,6",,,,,,
29.12.2018 08:00,"1,9","654,5",,"0,4",95,Wind blowing from the east-southeast,4,,,,,,,,,,,,,,,"1,1",No precipitation,1,,,,
29.12.2018 07:00,"2,2","654,3",,"-0,3",96,Wind blowing from the east-southeast,4,,,,,,,,,,,,,,,"1,6",No precipitation,1,,,,
29.12.2018 06:00,"2,5","653,9",,"-0,8",99,Wind blowing from the south-east,6,,,,,,,"2,3",,,,,,,,"2,3",No precipitation,12,,,,
29.12.2018 05:00,"3,0","654,1",,"-0,5",95,Wind blowing from the south-east,6,,,,,,,,,,,,,,,"2,3",No precipitation,1,,,,
29.12.2018 04:00,"2,8","654,6",,"-0,1",95,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"2,1",No precipitation,1,,,,
29.12.2018 03:00,"3,4","654,7",,"-0,3",94,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"2,5",,,,,,
29.12.2018 02:00,"3,3","654,6",,"-0,6",92,Wind blowing from the east-southeast,5,,,,,,,,,,,,,,,"2,1",No precipitation,1,,,,
29.12.2018 01:00,"4,1","654,7",,"-0,3",88,Wind blowing from the east-southeast,4,,,,,,,,,,,,,,,"2,2",No precipitation,1,,,,
29.12.2018 00:00,"4,4","655,0",,"0,0",85,Wind blowing from the east-southeast,4,,,,,,,,,,,,,,,"2,1",No precipitation,6,,,,
28.12.2018 23:00,"4,4","655,2",,"0,0",88,Wind blowing from the east-southeast,4,,,,,,,,,,,,,,,"2,6",No precipitation,1,,,,
28.12.2018 22:00,"4,5","655,0",,"0,0",89,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"2,9",No precipitation,1,,,,
28.12.2018 21:00,"4,3","655,0",,"0,1",93,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"3,2",,,,,,
28.12.2018 20:00,"4,7","655,2",,"0,5",90,Wind blowing from the east,4,,,,,,,,,,,,,,,"3,2",No precipitation,1,,,,
28.12.2018 19:00,"4,5","655,0",,"0,6",91,Wind blowing from the east-southeast,3,,,,,,,,,,,,,,,"3,1",No precipitation,1,,,,
28.12.2018 18:00,"4,5","654,9",,"0,9",90,Wind blowing from the east-southeast,4,,,,,,,,"9,0",,,,,,,"3,0",No precipitation,12,,,,
28.12.2018 17:00,"4,5","654,7",,"0,8",87,Wind blowing from the east,3,,,,,,,,,,,,,,,"2,5",No precipitation,1,,,,
28.12.2018 16:00,"5,8","654,4",,"0,5",78,Wind blowing from the south-east,3,,,,,,,,,,,,,,,"2,2",No precipitation,1,,,,
28.12.2018 15:00,"7,7","654,0",,"-0,4",70,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"2,6",,,,,,
28.12.2018 14:00,"7,2","653,9",,"-0,7",74,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"2,8",No precipitation,1,,,,
28.12.2018 13:00,"7,8","653,9",,"-0,7",80,Wind blowing from the east-southeast,4,,,,,,,,,,,,,,,"4,6",No precipitation,1,,,,
28.12.2018 12:00,"7,7","654,4",,"0,0",80,Wind blowing from the south-east,4,,,,,,,,,,,,,,,"4,4",No precipitation,6,,,,
28.12.2018 11:00,"8,3","654,6",,"0,5",73,Wind blowing from the east,2,,,,,,,,,,,,,,,"3,6",No precipitation,1,,,,
28.12.2018 10:00,"7,7","654,6",,"0,9",79,Wind blowing from the east,3,,,,,,,,,,,,,,,"4,2",No precipitation,1,,,,
28.12.2018 09:00,"6,6","654,4",,"1,1",81,Wind blowing from the east-southeast,2,,,,,,,,,,,,,,,"3,5",,,,,,
28.12.2018 08:00,"4,5","654,1",,"0,8",88,Wind blowing from the north-northeast,2,,,,,,,,,,,,,,,"2,7",No precipitation,1,,,,
28.12.2018 07:00,"3,1","653,7",,"0,2",97,Wind blowing from the north,4,,,,,,,,,,,,,,,"2,7",No precipitation,1,,,,
28.12.2018 06:00,"3,3","653,3",,"-0,3",99,Wind blowing from the north,4,,,,,,,"2,3",,,,,,,,"3,2","0,2",12,,,,
28.12.2018 05:00,"4,2","653,3",,"-0,1",99,Wind blowing from the north-northwest,5,,,,,,,,,,,,,,,"4,1",No precipitation,1,,,,
28.12.2018 04:00,"2,6","653,5",,"0,3",97,Wind blowing from the north-west,4,,,,,,,,,,,,,,,"2,2","0,1",1,,,,
28.12.2018 03:00,"3,7","653,6",,"0,3",98,Wind blowing from the north-west,3,,,,,,,,,,,,,,,"3,4",,,,,,
28.12.2018 02:00,"2,8","653,4",,"0,0",99,Wind blowing from the north-west,4,,,,,,,,,,,,,,,"2,6",No precipitation,1,,,,
28.12.2018 01:00,"3,6","653,2",,"-0,2",97,Wind blowing from the north-west,4,,,,,,,,,,,,,,,"3,2",No precipitation,1,,,,
28.12.2018 00:00,"4,4","653,3",,"-0,2",98,Wind blowing from the north-west,5,,,,,,,,,,,,,,,"4,1","0,1",6,,,,
27.12.2018 23:00,"4,5","653,4",,"0,0",98,Wind blowing from the west-northwest,5,,,,,,,,,,,,,,,"4,2",No precipitation,1,,,,
27.12.2018 22:00,"4,5","653,4",,"0,0",97,Wind blowing from the north-west,4,,,,,,,,,,,,,,,"4,1",No precipitation,1,,,,
27.12.2018 21:00,"5,1","653,5",,"0,3",97,Wind blowing from the west,3,,,,,,,,,,,,,,,"4,7",,,,,,
27.12.2018 20:00,"5,1","653,4",,"0,4",99,Wind blowing from the west-northwest,2,,,,,,,,,,,,,,,"4,9","0,1",1,,,,
27.12.2018 19:00,"5,1","653,4",,"0,4",98,Wind blowing from the west,3,,,,,,,,,,,,,,,"4,8",No precipitation,1,,,,
27.12.2018 18:00,"4,9","653,2",,"0,3",99,Wind blowing from the west,3,,,,,,,,"9,6",,,,,,,"4,8","0,7",12,,,,
27.12.2018 17:00,"5,3","653,0",,"0,3",100,Wind blowing from the west-northwest,3,,,,,,,,,,,,,,,"5,3","0,1",1,,,,
27.12.2018 16:00,"5,9","653,0",,"0,0",99,Wind blowing from the west,3,,,,,,,,,,,,,,,"5,7","0,1",1,,,,
27.12.2018 15:00,"6,2","652,9",,"-0,6",99,Wind blowing from the west-southwest,3,,,,,,,,,,,,,,,"6,1",,,,,,
27.12.2018 14:00,"6,5","652,7",,"-1,1",99,Wind blowing from the west,5,,,,,,,,,,,,,,,"6,3","0,2",1,,,,
27.12.2018 13:00,"6,7","653,0",,"-0,7",98,Wind blowing from the west,6,,,,,,,,,,,,,,,"6,4","0,2",1,,,,
27.12.2018 12:00,"7,5","653,5",,"-0,1",97,Wind blowing from the west-southwest,3,,,,,,,,,,,,,,,"7,0",No precipitation,6,,,,
27.12.2018 11:00,"7,1","653,8",,"0,4",71,Wind blowing from the south,1,,,,,,,,,,,,,,,"2,2",No precipitation,1,,,,
27.12.2018 10:00,"7,8","653,7",,"0,5",85,Wind blowing from the south-southwest,2,,,,,,,,,,,,,,,"5,4",No precipitation,1,,,,
27.12.2018 09:00,"7,1","653,6",,"0,5",90,Wind blowing from the west-southwest,3,,,,,,,,,,,,,,,"5,6",,,,,,
27.12.2018 08:00,"6,2","653,4",,"0,3",93,Wind blowing from the west-southwest,3,,,,,,,,,,,,,,,"5,1",No precipitation,1,,,,
27.12.2018 07:00,"6,7","653,2",,"-0,1",88,Wind blowing from the south-west,2,,,,,,,,,,,,,,,"4,8",No precipitation,1,,,,
27.12.2018 06:00,"6,0","653,1",,"-0,4",74,Wind blowing from the west-southwest,2,,,,,,,"5,2",,,,,,,,"1,7",No precipitation,12,,,,
27.12.2018 05:00,"7,8","653,1",,"-0,3",47,Wind blowing from the west,2,,,,,,,,,,,,,,,"-3,0",No precipitation,1,,,,
27.12.2018 04:00,"8,0","653,3",,"-0,1",37,Wind blowing from the south-west,4,,,,,,,,,,,,,,,"-6,0",No precipitation,1,,,,
27.12.2018 03:00,"8,3","653,5",,"-0,1",36,Wind blowing from the south-west,3,,,,,,,,,,,,,,,"-5,9",,,,,,
27.12.2018 02:00,"9,3","653,4",,"-0,4",32,Wind blowing from the south-southwest,4,,,,,,,,,,,,,,,"-6,7",No precipitation,1,,,,
27.12.2018 01:00,"8,2","653,4",,"-0,4",34,Wind blowing from the west-southwest,2,,,,,,,,,,,,,,,"-6,7",No precipitation,1,,,,
27.12.2018 00:00,"7,5","653,6",,"-0,3",36,Wind blowing from the south-southwest,1,,,,,,,,,,,,,,,"-6,8",No precipitation,6,,,,
26.12.2018 23:00,"7,5","653,8",,"-0,3",36,Wind blowing from the south,2,,,,,,,,,,,,,,,"-6,8",No precipitation,1,,,,
26.12.2018 22:00,"7,2","653,8",,"-0,3",38,Wind blowing from the south-southwest,3,,,,,,,,,,,,,,,"-6,4",No precipitation,1,,,,
26.12.2018 21:00,"7,5","653,9",,"-0,1",32,Wind blowing from the south-west,1,,,,,,,,,,,,,,,"-8,3",,,,,,
26.12.2018 20:00,"7,2","654,1",,"0,1",32,Wind blowing from the south,2,,,,,,,,,,,,,,,"-8,5",No precipitation,1,,,,
26.12.2018 19:00,"7,7","654,1",,"0,0",26,Wind blowing from the north-northwest,1,,,,,,,,,,,,,,,"-10,9",No precipitation,1,,,,
26.12.2018 18:00,"9,0","654,0",,"0,0",25,Wind blowing from the south-southwest,3,,,,,,,,"15,1",,,,,,,"-10,0",No precipitation,12,,,,
26.12.2018 17:00,"8,4","654,0",,"0,2",32,Wind blowing from the west,4,,,,,,,,,,,,,,,"-7,3",No precipitation,1,,,,
26.12.2018 16:00,"10,5","654,1",,"0,1",28,Wind blowing from the west,3,,,,,,,,,,,,,,,"-7,3",No precipitation,1,,,,
26.12.2018 15:00,"11,7","654,0",,"-0,4",34,Wind blowing from the north-west,2,,,,,,,,,,,,,,,"-3,6",,,,,,
26.12.2018 14:00,"11,4","653,8",,"-1,1",37,Wind blowing from the west-northwest,4,,,,,,,,,,,,,,,"-2,8",No precipitation,1,,,,
26.12.2018 13:00,"14,5","654,0",,"-1,0",18,Wind blowing from the south-southwest,3,,,,,,,,,,,,,,,"-9,7",No precipitation,1,,,,
26.12.2018 12:00,"14,3","654,4",,"-0,2",52,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"4,4",No precipitation,6,,,,
26.12.2018 11:00,"14,2","654,9",,"0,8",22,Wind blowing from the east,1,,,,,,,,,,,,,,,"-7,4",No precipitation,1,,,,
26.12.2018 10:00,"11,7","655,0",,"1,0",16,Wind blowing from the west,4,,,,,,,,,,,,,,,"-13,3",No precipitation,1,,,,
26.12.2018 09:00,"12,5","654,6",,"0,8",13,Wind blowing from the west-southwest,4,,,,,,,,,,,,,,,"-15,7",,,,,,
26.12.2018 08:00,"12,2","654,1",,"0,4",12,Wind blowing from the west-southwest,5,,,,,,,,,,,,,,,"-16,9",No precipitation,1,,,,
26.12.2018 07:00,"12,3","654,0",,"0,2",10,Wind blowing from the west-southwest,3,,,,,,,,,,,,,,,"-18,6",No precipitation,1,,,,
26.12.2018 06:00,"11,4","653,8",,"-0,2",11,Wind blowing from the south-southwest,3,,,,,,,"3,9",,,,,,,,"-18,2",No precipitation,12,,,,
26.12.2018 05:00,"7,6","653,7",,"-0,3",27,Wind blowing from the south-southeast,1,,,,,,,,,,,,,,,"-10,5",No precipitation,1,,,,
26.12.2018 04:00,"7,0","653,8",,"-0,3",24,Wind blowing from the north-northwest,1,,,,,,,,,,,,,,,"-12,2",No precipitation,1,,,,
26.12.2018 03:00,"8,5","654,0",,"-0,1",20,Wind blowing from the south,2,,,,,,,,,,,,,,,"-13,2",,,,,,
26.12.2018 02:00,"5,9","654,0",,"-0,2",47,Wind blowing from the north-west,1,,,,,,,,,,,,,,,"-4,8",No precipitation,1,,,,
26.12.2018 01:00,"4,0","654,1",,"-0,1",61,Wind blowing from the north-east,1,,,,,,,,,,,,,,,"-3,0",No precipitation,1,,,,
26.12.2018 00:00,"6,2","654,1",,"0,0",46,Wind blowing from the south-southeast,1,,,,,,,,,,,,,,,"-4,7",No precipitation,6,,,,
25.12.2018 23:00,"6,3","654,2",,"0,1",49,Wind blowing from the south-southeast,1,,,,,,,,,,,,,,,"-3,7",No precipitation,1,,,,
25.12.2018 22:00,"7,4","654,2",,"0,4",36,Wind blowing from the south,2,,,,,,,,,,,,,,,"-6,9",No precipitation,1,,,,
25.12.2018 21:00,"8,3","654,1",,"0,5",33,"Calm, no wind",0,,,,,,,,,,,,,,,"-7,0",,,,,,
25.12.2018 20:00,"9,0","654,1",,"0,6",31,Wind blowing from the west-northwest,1,,,,,,,,,,,,,,,"-7,3",No precipitation,1,,,,
25.12.2018 19:00,"8,8","653,8",,"0,4",34,Wind blowing from the west,1,,,,,,,,,,,,,,,"-6,4",No precipitation,1,,,,
25.12.2018 18:00,"8,5","653,6",,"0,4",38,Wind blowing from the south,1,,,,,,,,"12,3",,,,,,,"-5,3",No precipitation,12,,,,
25.12.2018 17:00,"8,5","653,5",,"0,3",51,"Calm, no wind",0,,,,,,,,,,,,,,,"-1,2",No precipitation,1,,,,
25.12.2018 16:00,"10,9","653,4",,"-0,1",49,Wind blowing from the north-northwest,1,,,,,,,,,,,,,,,"0,5",No precipitation,1,,,,
25.12.2018 15:00,"11,5","653,2",,"-0,5",52,Wind blowing from the north-west,1,,,,,,,,,,,,,,,"1,9",,,,,,
25.12.2018 14:00,"10,9","653,2",,"-0,9",51,Wind blowing from the south-east,2,,,,,,,,,,,,,,,"1,0",No precipitation,1,,,,
25.12.2018 13:00,"12,0","653,5",,"-0,6",45,Wind blowing from the south-southeast,3,,,,,,,,,,,,,,,"0,3",No precipitation,1,,,,
25.12.2018 12:00,"10,7","653,7",,"-0,1",46,Wind blowing from the east,2,,,,,,,,,,,,,,,"-0,6",No precipitation,6,,,,
25.12.2018 11:00,"9,7","654,1",,"0,6",43,Wind blowing from the east-southeast,3,,,,,,,,,,,,,,,"-2,5",No precipitation,1,,,,
25.12.2018 10:00,"9,8","654,1",,"0,7",38,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"-4,1",No precipitation,1,,,,
25.12.2018 09:00,"9,0","653,8",,"0,5",34,Wind blowing from the east-northeast,2,,,,,,,,,,,,,,,"-6,3",,,,,,
25.12.2018 08:00,"8,8","653,5",,"0,2",22,Wind blowing from the east-southeast,3,,,,,,,,,,,,,,,"-11,7",No precipitation,1,,,,
25.12.2018 07:00,"8,4","653,4",,"-0,1",31,Wind blowing from the east,2,,,,,,,,,,,,,,,"-7,8",No precipitation,1,,,,
25.12.2018 06:00,"7,0","653,3",,"-0,5",35,Wind blowing from the south-east,3,,,,,,,"6,3",,,,,,,,"-7,6",No precipitation,12,,,,
25.12.2018 05:00,"7,6","653,3",,"-0,5",32,Wind blowing from the south-southeast,2,,,,,,,,,,,,,,,"-8,2",No precipitation,1,,,,
25.12.2018 04:00,"8,6","653,5",,"-0,4",30,Wind blowing from the south-east,3,,,,,,,,,,,,,,,"-8,2",No precipitation,1,,,,
