Local time in Castelo do Neiva,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
28.12.2018 03:00,"11,4","768,0","772,3","0,4",100,Wind blowing from the north,1,,,,,,,,,,,,,,,"11,4",No precipitation,1,,,,
28.12.2018 02:00,"11,5","767,8","772,2","0,0",99,Wind blowing from the north,1,,,,,,,,,,,,,,,"11,4",No precipitation,1,,,,
28.12.2018 01:00,"11,4","767,5","771,9","0,0",99,Wind blowing from the north,1,,58,,,,,,,,,,,,,"11,3",No precipitation,1,,,,
28.12.2018 00:00,"11,5","767,6","772,0","0,2",100,Wind blowing from the north,1,,53,,,,,,,,,,,,,"11,5",No precipitation,1,,,,
27.12.2018 23:00,"11,6","767,8","772,2","0,6",99,Wind blowing from the north,1,,,,,,,,,,,,,,,"11,5",No precipitation,1,,,,
27.12.2018 22:00,"11,7","767,5","771,9","0,5",100,Wind blowing from the north,1,,,,,,,,,,,,,,,"11,7",No precipitation,1,,,,
27.12.2018 21:00,"11,7","767,4","771,7","0,6",100,Wind blowing from the north,1,,,,,,,,,,,,,,,"11,7",3,12,,,,
27.12.2018 20:00,"12,0","767,2","771,6","0,7",99,Wind blowing from the north,1,,,,,,,,,,,,,,,"11,8",No precipitation,1,,,,
27.12.2018 19:00,"11,9","767,0","771,4","0,6",99,Wind blowing from the north,1,,,,,,,,,,,,,,,"11,7",No precipitation,1,,,,
27.12.2018 18:00,"12,1","766,8","771,2","0,5",99,,,,,,"Drizzle, not freezing, intermittent, slight at time of observation.",Drizzle.,Drizzle.,,"12,7","Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,200-300,,,"5,0","12,0",3,12,,,,
27.12.2018 17:00,"12,3","766,5","770,9","0,5",99,Wind blowing from the north,1,,,,,,,,,,,,,,,"12,1","0,1",1,,,,
27.12.2018 16:00,"12,3","766,4","770,8","0,3",99,Wind blowing from the north,1,,59,,,,,,,,,,,,,"12,2","0,1",1,,,,
27.12.2018 15:00,"12,4","766,3","770,7","-0,2",98,"Calm, no wind",0,,,100%.,"Drizzle, not freezing, continuous, slight at time of observation.",Drizzle.,Drizzle.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,100-200,,,"2,8","12,1","0,1",1,,,,
27.12.2018 14:00,"12,4","766,0","770,4","-0,8",99,Wind blowing from the north,1,,,,,,,,,,,,,,,"12,2",1,1,,,,
27.12.2018 13:00,"12,4","766,1","770,5","-0,7",100,Wind blowing from the north,1,,,,,,,,,,,,,,,"12,4","0,9",1,,,,
27.12.2018 12:00,"12,2","766,5","770,9","-0,1",97,Wind blowing from the north,1,,,100%.,"Drizzle, not freezing, intermittent, slight at time of observation.",Drizzle.,Drizzle.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,100-200,,,"2,8","11,8","0,4",6,,,,
27.12.2018 11:00,"11,7","766,8","771,2","0,6",97,Wind blowing from the north,1,,,,,,,,,,,,,,,"11,3","0,1",1,,,,
27.12.2018 10:00,"11,3","766,8","771,2","1,0",97,Wind blowing from the north,2,,,,,,,,,,,,,,,"10,9","0,1",1,,,,
27.12.2018 09:00,"11,2","766,6","771,0","0,9",97,,,,,,"Drizzle, not freezing, intermittent, slight at time of observation.",Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,200-300,,,"5,0","10,8","0,1",1,,,,
27.12.2018 08:00,"11,0","766,2","770,6","0,6",99,Wind blowing from the north,1,,,,,,,,,,,,,,,"10,8",No precipitation,1,,,,
27.12.2018 07:00,"11,0","765,8","770,2","0,1",98,Wind blowing from the north,1,,,,,,,,,,,,,,,"10,7","0,1",1,,,,
27.12.2018 06:00,"11,1","765,7","770,1","0,0",98,Wind blowing from the north,1,,,,,,,"10,6",,,,,,,,"10,8",2,12,Surface of ground moist.,"8,0",,
27.12.2018 05:00,"11,2","765,6","769,9","0,1",95,Wind blowing from the north,1,,5,,,,,,,,,,,,,"10,4",2,1,,,,
27.12.2018 04:00,"12,1","765,7","770,0","0,0",86,Wind blowing from the north,1,,9,,,,,,,,,,,,,"9,8","0,2",1,,,,
27.12.2018 03:00,"14,0","765,7","770,1","0,0",70,Wind blowing from the north,1,,5,,,,,,,,,,,,,"8,5",No precipitation,1,,,,
27.12.2018 02:00,"13,1","765,5","769,9","-0,4",74,Wind blowing from the north,1,,,,,,,,,,,,,,,"8,6",No precipitation,1,,,,
27.12.2018 01:00,"12,2","765,7","770,0","-0,3",79,Wind blowing from the north,1,,5,,,,,,,,,,,,,"8,7",No precipitation,1,,,,
27.12.2018 00:00,"11,4","765,7","770,1","-0,4",84,Wind blowing from the north,1,,,,,,,,,,,,,,,"8,7",No precipitation,1,,,,
26.12.2018 23:00,"10,6","765,9","770,3","-0,2",89,Wind blowing from the north,1,,,,,,,,,,,,,,,"8,9",No precipitation,1,,,,
26.12.2018 22:00,"11,8","766,0","770,4","-0,2",87,Wind blowing from the north,2,,,,,,,,,,,,,,,"9,7",No precipitation,1,,,,
26.12.2018 21:00,"11,8","766,1","770,5","-0,2",88,Wind blowing from the north,2,,,,,,,,,,,,,,,"9,8",No precipitation,12,,,,
26.12.2018 20:00,"11,6","766,1","770,5","-0,2",91,Wind blowing from the north,2,,,,,,,,,,,,,,,"10,2",No precipitation,1,,,,
26.12.2018 19:00,"11,9","766,2","770,6","-0,1",89,Wind blowing from the north,1,,,,,,,,,,,,,,,"10,1",No precipitation,1,,,,
26.12.2018 18:00,"12,3","766,3","770,7","0,1",86,"Calm, no wind",0,,,70 – 80%.,State of sky on the whole unchanged.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,"16,0",Stratocumulus other than Stratocumulus cumulogenitus.,40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","14,0","10,0",No precipitation,1,,,,
26.12.2018 17:00,"14,4","766,3","770,7","0,4",81,Wind blowing from the north,1,,6,,,,,,,,,,,,,"11,1",No precipitation,1,,,,
26.12.2018 16:00,"14,6","766,3","770,6","0,2",74,Wind blowing from the north,1,,6,,,,,,,,,,,,,"9,9",No precipitation,1,,,,
26.12.2018 15:00,"14,8","766,2","770,5","-0,4",61,Wind blowing from the north,2,5,5,"90 or more, but not 100%",State of sky on the whole unchanged.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,70 – 80%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","14,0","7,4",No precipitation,1,,,,
26.12.2018 14:00,"14,8","765,9","770,2","-1,0",62,Wind blowing from the north,2,,6,,,,,,,,,,,,,"7,6",No precipitation,1,,,,
26.12.2018 13:00,"15,9","766,1","770,5","-0,8",54,Wind blowing from the north,2,5,6,,,,,,,,,,,,,"6,5",No precipitation,1,,,,
26.12.2018 12:00,"14,3","766,6","771,0","0,0",73,Wind blowing from the north,1,,,70 – 80%.,State of sky on the whole unchanged.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",40%.,600-1000,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","16,0","9,4",No precipitation,1,,,,
26.12.2018 11:00,"11,6","766,9","771,4","0,9",76,Wind blowing from the north,2,,35,,,,,,,,,,,,,"7,4",No precipitation,1,,,,
26.12.2018 10:00,"9,4","766,9","771,3","0,9",86,Wind blowing from the north,3,,,,,,,,,,,,,,,"7,1",No precipitation,1,,,,
26.12.2018 09:00,"6,7","766,6","771,1","0,5",95,Wind blowing from the north,3,,51,"90 or more, but not 100%",State of sky on the whole unchanged.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","90 or more, but not 100%",600-1000,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","16,0","5,9",No precipitation,1,,,,
26.12.2018 08:00,"6,2","766,0","770,5","0,1",97,Wind blowing from the north,3,,57,,,,,,,,,,,,,"5,7",No precipitation,1,,,,
26.12.2018 07:00,"6,0","766,0","770,5","0,2",96,Wind blowing from the north,3,,52,,,,,,,,,,,,,"5,4",No precipitation,1,,,,
26.12.2018 06:00,"6,4","766,1","770,5","0,2",96,Wind blowing from the north,3,,,,,,,"6,2",,,,,,,,"5,8","0,1",12,Surface of ground moist.,"4,0",,
26.12.2018 05:00,"6,5","765,9","770,3","0,2",98,Wind blowing from the north,3,,5,,,,,,,,,,,,,"6,2",No precipitation,1,,,,
26.12.2018 04:00,"6,6","765,8","770,3","0,1",97,Wind blowing from the north,3,,,,,,,,,,,,,,,"6,2",No precipitation,1,,,,
26.12.2018 03:00,"6,7","765,9","770,3","0,1",98,Wind blowing from the north,3,,,,,,,,,,,,,,,"6,4",No precipitation,1,,,,
26.12.2018 02:00,"7,0","765,7","770,2","-0,3",99,Wind blowing from the north,3,,,,,,,,,,,,,,,"6,9",No precipitation,1,,,,
26.12.2018 01:00,"7,0","765,7","770,2","-0,4",99,Wind blowing from the north,2,,,,,,,,,,,,,,,"6,9","0,1",1,,,,
26.12.2018 00:00,"7,4","765,8","770,2","-0,5",99,Wind blowing from the north,3,,,,,,,,,,,,,,,"7,2",No precipitation,1,,,,
25.12.2018 23:00,"7,8","766,0","770,5","-0,1",99,Wind blowing from the north,3,,,,,,,,,,,,,,,"7,7",No precipitation,1,,,,
