Local time in Lisbon,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
26.12.2018 12:00,"9,8","762,3","771,8","0,1",89,Wind blowing from the north-east,2,,,100%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",100%.,200-300,,,"3,0","8,0",No precipitation,6,,,,
26.12.2018 11:00,"8,6","762,5","772,1","0,7",91,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"7,2",No precipitation,1,,,,
26.12.2018 10:00,"8,0","762,3","772,0","0,6",94,Wind blowing from the east-northeast,4,,,,,,,,,,,,,,,"7,1",No precipitation,1,,,,
26.12.2018 09:00,"7,5","762,2","771,8","1,0",95,Wind blowing from the east,5,,,100%.,Mist.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",100%.,50-100,,,"6,0","6,7",No precipitation,1,,,,
26.12.2018 08:00,"7,2","761,8","771,4","0,9",96,Wind blowing from the east-northeast,4,,,,,,,,,,,,,,,"6,6",No precipitation,1,,,,
26.12.2018 07:00,"7,2","761,7","771,3","0,8",97,Wind blowing from the north-east,3,,,,,,,,,,,,,,,"6,7",No precipitation,1,,,,
26.12.2018 06:00,"7,2","761,2","770,8","0,0",97,Wind blowing from the east-northeast,3,,,,,,,"7,2",,,,,,,,"6,7",No precipitation,12,,,,
26.12.2018 05:00,"7,8","760,9","770,5","0,0",96,Wind blowing from the east,3,,,,,,,,,,,,,,,"7,2",No precipitation,1,,,,
26.12.2018 04:00,"7,8","760,9","770,5","-0,1",96,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"7,2",No precipitation,1,,,,
26.12.2018 03:00,"7,9","761,2","770,8","0,0",95,Wind blowing from the north-east,3,,,,,,,,,,,,,,,"7,2",No precipitation,1,,,,
26.12.2018 02:00,"8,2","760,9","770,5","-0,3",96,Wind blowing from the north-east,3,,,,,,,,,,,,,,,"7,6",No precipitation,1,,,,
26.12.2018 01:00,"8,3","761,0","770,6","-0,2",95,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"7,6",No precipitation,1,,,,
26.12.2018 00:00,"9,1","761,2","770,8","0,0",93,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"8,0",No precipitation,6,,,,
25.12.2018 23:00,"9,6","761,2","770,8","0,1",91,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"8,2",No precipitation,1,,,,
25.12.2018 22:00,"10,4","761,2","770,7","0,3",84,Wind blowing from the east,1,,,,,,,,,,,,,,,"7,7",No precipitation,1,,,,
25.12.2018 21:00,"10,6","761,2","770,8","0,6",82,Wind blowing from the east-northeast,1,,,,,,,,,,,,,,,"7,6",No precipitation,12,,,,
25.12.2018 20:00,"10,6","761,1","770,6","0,7",80,"Calm, no wind",0,,,,,,,,,,,,,,,"7,2",No precipitation,1,,,,
25.12.2018 19:00,"11,8","760,9","770,4","0,6",73,"Calm, no wind",0,,,,,,,,,,,,,,,"7,1",No precipitation,1,,,,
25.12.2018 18:00,"11,6","760,6","770,2","0,6",73,"Calm, no wind",0,,,,,,,,"13,5",,,,,,,"6,9",No precipitation,12,,,,
25.12.2018 17:00,"11,9","760,4","769,9","0,6",76,Wind blowing from the north-east,1,,,,,,,,,,,,,,,"7,8",No precipitation,1,,,,
25.12.2018 16:00,"12,2","760,3","769,7","0,2",75,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"7,9",No precipitation,1,,,,
25.12.2018 15:00,"13,1","760,0","769,3","-0,5",67,Wind blowing from the north-east,2,,,,,,,,,,,,,,,"7,1",No precipitation,1,,,,
25.12.2018 14:00,"12,4","759,8","769,3","-1,2",74,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"7,8",No precipitation,1,,,,
25.12.2018 13:00,"11,5","760,1","769,6","-0,8",77,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"7,5",No precipitation,1,,,,
25.12.2018 12:00,"11,1","760,5","770,0","-0,3",75,Wind blowing from the east-northeast,3,,,,,,,,,,,,,,,"6,8",No precipitation,6,,,,
25.12.2018 11:00,"9,5","761,0","770,6","0,6",81,Wind blowing from the east-northeast,4,,,,,,,,,,,,,,,"6,3",No precipitation,1,,,,
25.12.2018 10:00,"9,0","760,9","770,5","0,8",80,Wind blowing from the east-northeast,5,,,,,,,,,,,,,,,"5,7",No precipitation,1,,,,
25.12.2018 09:00,"8,1","760,8","770,4","1,1",84,Wind blowing from the north-east,4,,,,,,,,,,,,,,,"5,6",No precipitation,1,,,,
